Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
4,1962-10-03,Quarta-feira,D 3º,61,4
46,1963-03-09,Sábado,D 1º,61,42
64,1963-05-18,Sábado,D 3º,61,18
77,1963-07-03,Quarta-feira,D 4º,61,13
114,1963-11-16,Sábado,D 4º,61,37
123,1963-12-18,Quarta-feira,D 5º,61,9
132,1964-01-25,Sábado,D 3º,61,9
150,1964-04-04,Sábado,D 5º,61,18
168,1964-06-06,Sábado,D 2º,61,18
171,1964-06-17,Quarta-feira,D 2º,61,3
175,1964-07-01,Quarta-feira,D 3º,61,4
210,1964-11-04,Quarta-feira,D 3º,61,35
211,1964-11-07,Sábado,D 4º,61,1
236,1965-02-10,Quarta-feira,D 3º,61,25
252,1965-04-10,Sábado,D 4º,61,16
268,1965-06-12,Sábado,D 5º,61,16
274,1965-07-03,Sábado,D 1º,61,6
278,1965-07-17,Sábado,D 1º,61,4
287,1965-08-18,Quarta-feira,D 1º,61,9
339,1966-02-26,Sábado,D 3º,61,52
354,1966-04-20,Quarta-feira,D 1º,61,15
357,1966-04-30,Sábado,D 5º,61,3
367,1966-06-04,Sábado,D 4º,61,10
381,1966-07-23,Sábado,D 1º,61,14
400,1966-10-01,Sábado,D 1º,61,19
402,1966-10-08,Sábado,D 2º,61,2
416,1966-11-30,Quarta-feira,D 1º,61,14
431,1967-01-21,Sábado,D 3º,61,15
452,1967-04-08,Sábado,D 1º,61,21
479,1967-07-12,Quarta-feira,D 2º,61,27
517,1967-11-25,Sábado,D 1º,61,38
518,1967-11-29,Quarta-feira,D 5º,61,1
545,1968-03-06,Quarta-feira,D 2º,61,27
578,1968-07-03,Quarta-feira,D 1º,61,33
589,1968-08-10,Sábado,D 4º,61,11
675,1969-06-28,Sábado,D 3º,61,86
711,1969-11-01,Sábado,D 4º,61,36
725,1969-12-24,Quarta-feira,D 1º,61,14
735,1970-02-04,Quarta-feira,D 3º,61,10
751,1970-04-08,Quarta-feira,D 3º,61,16
768,1970-06-06,Sábado,D 2º,61,17
787,1970-08-12,Quarta-feira,D 2º,61,19
799,1970-09-23,Quarta-feira,D 5º,61,12
807,1970-10-21,Quarta-feira,D 3º,61,8
821,1970-12-09,Quarta-feira,D 5º,61,14
851,1971-04-07,Quarta-feira,D 4º,61,30
859,1971-05-15,Sábado,D 1º,61,8
860,1971-05-19,Quarta-feira,D 2º,61,1
875,1971-07-10,Sábado,D 5º,61,15
887,1971-08-25,Quarta-feira,D 1º,61,12
927,1972-02-12,Sábado,D 2º,61,40
961,1972-07-08,Sábado,D 5º,61,34
1004,1973-01-17,Quarta-feira,D 4º,61,43
1018,1973-03-21,Quarta-feira,D 5º,61,14
1031,1973-05-12,Sábado,D 1º,61,13
1031,1973-05-12,Sábado,D 3º,61,0
1050,1973-07-18,Quarta-feira,D 3º,61,19
1063,1973-09-05,Quarta-feira,D 4º,61,13
1069,1973-09-26,Quarta-feira,D 2º,61,6
1077,1973-10-24,Quarta-feira,D 1º,61,8
1104,1974-02-02,Sábado,D 2º,61,27
1119,1974-03-30,Sábado,D 5º,61,15
1131,1974-05-15,Quarta-feira,D 5º,61,12
1214,1975-03-22,Sábado,D 5º,61,83
1219,1975-04-12,Sábado,D 5º,61,5
1315,1976-04-10,Sábado,D 1º,61,96
1318,1976-04-28,Quarta-feira,D 5º,61,3
1329,1976-06-09,Quarta-feira,D 5º,61,11
1388,1977-01-19,Quarta-feira,D 1º,61,59
1419,1977-05-21,Sábado,D 1º,61,31
1450,1977-09-14,Quarta-feira,D 5º,61,31
1461,1977-10-26,Quarta-feira,D 2º,61,11
1463,1977-11-09,Quarta-feira,D 2º,61,2
1463,1977-11-09,Quarta-feira,D 3º,61,0
1465,1977-11-16,Quarta-feira,D 1º,61,2
1519,1978-06-14,Quarta-feira,D 1º,61,54
1521,1978-06-21,Quarta-feira,D 3º,61,2
1547,1978-09-23,Sábado,D 1º,61,26
1567,1978-12-13,Quarta-feira,D 3º,61,20
1617,1979-06-30,Sábado,D 2º,61,50
1618,1979-07-04,Quarta-feira,D 1º,61,1
1640,1979-09-26,Quarta-feira,D 4º,61,22
1650,1979-11-07,Quarta-feira,D 2º,61,10
1665,1980-01-09,Quarta-feira,D 2º,61,15
1667,1980-01-19,Sábado,D 2º,61,2
1672,1980-02-09,Sábado,D 2º,61,5
1677,1980-03-01,Sábado,D 5º,61,5
1692,1980-04-26,Sábado,D 1º,61,15
1715,1980-07-23,Quarta-feira,D 3º,61,23
1725,1980-08-30,Sábado,D 3º,61,10
1741,1980-10-29,Quarta-feira,D 1º,61,16
1825,1981-09-23,Quarta-feira,D 4º,61,84
1841,1981-11-25,Quarta-feira,D 3º,61,16
1848,1981-12-19,Sábado,D 5º,61,7
1854,1982-01-16,Sábado,D 5º,61,6
1859,1982-02-03,Quarta-feira,D 2º,61,5
1878,1982-04-24,Sábado,D 2º,61,19
1893,1982-06-23,Quarta-feira,D 1º,61,15
1909,1982-08-21,Sábado,D 4º,61,16
1926,1982-10-27,Quarta-feira,D 1º,61,17
1931,1982-11-20,Sábado,D 1º,61,5
1941,1982-12-29,Quarta-feira,D 4º,61,10
1960,1983-03-16,Quarta-feira,D 1º,61,19
1963,1983-03-26,Sábado,D 3º,61,3
1981,1983-06-01,Quarta-feira,D 5º,61,18
1992,1983-07-09,Sábado,D 3º,61,11
2022,1983-11-12,Sábado,D 1º,61,30
2027,1983-12-03,Sábado,D 1º,61,5
2042,1984-01-28,Sábado,D 4º,61,15
2049,1984-02-22,Quarta-feira,D 1º,61,7
