Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
29,1963-01-05,Sábado,D 5º,43,29
70,1963-06-08,Sábado,D 4º,43,41
71,1963-06-12,Quarta-feira,D 3º,43,1
74,1963-06-22,Sábado,D 2º,43,3
118,1963-11-30,Sábado,D 4º,43,44
128,1964-01-11,Sábado,D 4º,43,10
152,1964-04-11,Sábado,D 4º,43,24
155,1964-04-22,Quarta-feira,D 2º,43,3
158,1964-05-02,Sábado,D 3º,43,3
195,1964-09-12,Sábado,D 1º,43,37
202,1964-10-07,Quarta-feira,D 1º,43,7
243,1965-03-10,Quarta-feira,D 2º,43,41
267,1965-06-09,Quarta-feira,D 1º,43,24
274,1965-07-03,Sábado,D 5º,43,7
285,1965-08-11,Quarta-feira,D 2º,43,11
294,1965-09-11,Sábado,D 3º,43,9
333,1966-02-02,Quarta-feira,D 3º,43,39
334,1966-02-05,Sábado,D 4º,43,1
411,1966-11-12,Sábado,D 4º,43,77
421,1966-12-17,Sábado,D 2º,43,10
452,1967-04-08,Sábado,D 2º,43,31
457,1967-04-26,Quarta-feira,D 5º,43,5
469,1967-06-07,Quarta-feira,D 4º,43,12
550,1968-03-23,Sábado,D 4º,43,81
556,1968-04-13,Sábado,D 5º,43,6
566,1968-05-22,Quarta-feira,D 2º,43,10
631,1969-01-18,Sábado,D 5º,43,65
639,1969-02-15,Sábado,D 5º,43,8
651,1969-04-02,Quarta-feira,D 1º,43,12
662,1969-05-14,Quarta-feira,D 2º,43,11
688,1969-08-13,Quarta-feira,D 1º,43,26
731,1970-01-21,Quarta-feira,D 5º,43,43
733,1970-01-28,Quarta-feira,D 2º,43,2
758,1970-05-02,Sábado,D 3º,43,25
782,1970-07-25,Sábado,D 1º,43,24
810,1970-10-31,Sábado,D 3º,43,28
816,1970-11-21,Sábado,D 1º,43,6
880,1971-07-28,Quarta-feira,D 1º,43,64
882,1971-08-07,Sábado,D 4º,43,2
971,1972-08-23,Quarta-feira,D 3º,43,89
1012,1973-02-21,Quarta-feira,D 3º,43,41
1049,1973-07-14,Sábado,D 4º,43,37
1163,1974-09-11,Quarta-feira,D 5º,43,114
1182,1974-11-20,Quarta-feira,D 5º,43,19
1230,1975-05-24,Sábado,D 1º,43,48
1241,1975-07-02,Quarta-feira,D 1º,43,11
1274,1975-10-29,Quarta-feira,D 1º,43,33
1287,1975-12-20,Sábado,D 2º,43,13
1295,1976-01-28,Quarta-feira,D 3º,43,8
1308,1976-03-17,Quarta-feira,D 1º,43,13
1336,1976-07-03,Sábado,D 4º,43,28
1350,1976-08-25,Quarta-feira,D 2º,43,14
1388,1977-01-19,Quarta-feira,D 2º,43,38
1395,1977-02-16,Quarta-feira,D 4º,43,7
1443,1977-08-17,Quarta-feira,D 5º,43,48
1482,1978-01-18,Quarta-feira,D 1º,43,39
1491,1978-02-25,Sábado,D 3º,43,9
1494,1978-03-08,Quarta-feira,D 3º,43,3
1534,1978-08-09,Quarta-feira,D 4º,43,40
1548,1978-09-27,Quarta-feira,D 1º,43,14
1552,1978-10-14,Sábado,D 3º,43,4
1571,1978-12-30,Sábado,D 5º,43,19
1580,1979-01-31,Quarta-feira,D 4º,43,9
1592,1979-03-21,Quarta-feira,D 4º,43,12
1624,1979-07-25,Quarta-feira,D 3º,43,32
1637,1979-09-15,Sábado,D 1º,43,13
