Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
27,1962-12-29,Sábado,D 1º,95,27
47,1963-03-13,Quarta-feira,D 3º,95,20
63,1963-05-15,Quarta-feira,D 1º,95,16
88,1963-08-10,Sábado,D 3º,95,25
94,1963-08-31,Sábado,D 1º,95,6
107,1963-10-19,Sábado,D 4º,95,13
119,1963-12-04,Quarta-feira,D 3º,95,12
131,1964-01-22,Quarta-feira,D 2º,95,12
141,1964-02-29,Sábado,D 1º,95,10
155,1964-04-22,Quarta-feira,D 3º,95,14
172,1964-06-20,Sábado,D 1º,95,17
173,1964-06-24,Quarta-feira,D 1º,95,1
194,1964-09-09,Quarta-feira,D 4º,95,21
199,1964-09-26,Sábado,D 1º,95,5
225,1964-12-26,Sábado,D 1º,95,26
227,1965-01-06,Quarta-feira,D 2º,95,2
227,1965-01-06,Quarta-feira,D 3º,95,0
233,1965-01-30,Sábado,D 3º,95,6
234,1965-02-03,Quarta-feira,D 4º,95,1
254,1965-04-17,Sábado,D 4º,95,20
255,1965-04-24,Sábado,D 5º,95,1
330,1966-01-22,Sábado,D 5º,95,75
361,1966-05-14,Sábado,D 4º,95,31
400,1966-10-01,Sábado,D 4º,95,39
473,1967-06-21,Quarta-feira,D 5º,95,73
514,1967-11-11,Sábado,D 1º,95,41
536,1968-01-31,Quarta-feira,D 4º,95,22
537,1968-02-03,Sábado,D 2º,95,1
547,1968-03-13,Quarta-feira,D 3º,95,10
554,1968-04-06,Sábado,D 5º,95,7
599,1968-09-18,Quarta-feira,D 1º,95,45
600,1968-09-21,Sábado,D 1º,95,1
618,1968-11-27,Quarta-feira,D 2º,95,18
667,1969-05-31,Sábado,D 1º,95,49
668,1969-06-04,Quarta-feira,D 3º,95,1
678,1969-07-09,Quarta-feira,D 4º,95,10
689,1969-08-16,Sábado,D 5º,95,11
693,1969-08-30,Sábado,D 4º,95,4
725,1969-12-24,Quarta-feira,D 2º,95,32
733,1970-01-28,Quarta-feira,D 3º,95,8
734,1970-01-31,Sábado,D 3º,95,1
768,1970-06-06,Sábado,D 5º,95,34
779,1970-07-15,Quarta-feira,D 2º,95,11
791,1970-08-26,Quarta-feira,D 2º,95,12
836,1971-02-10,Quarta-feira,D 2º,95,45
852,1971-04-14,Quarta-feira,D 2º,95,16
856,1971-05-05,Quarta-feira,D 5º,95,4
872,1971-06-30,Quarta-feira,D 1º,95,16
875,1971-07-10,Sábado,D 3º,95,3
876,1971-07-14,Quarta-feira,D 3º,95,1
887,1971-08-25,Quarta-feira,D 3º,95,11
892,1971-09-15,Quarta-feira,D 1º,95,5
931,1972-03-04,Sábado,D 5º,95,39
937,1972-03-25,Sábado,D 4º,95,6
990,1972-11-18,Sábado,D 2º,95,53
1017,1973-03-17,Sábado,D 3º,95,27
1082,1973-11-10,Sábado,D 5º,95,65
1083,1973-11-14,Quarta-feira,D 5º,95,1
1099,1974-01-16,Quarta-feira,D 3º,95,16
1130,1974-05-11,Sábado,D 4º,95,31
1158,1974-08-21,Quarta-feira,D 1º,95,28
1158,1974-08-21,Quarta-feira,D 4º,95,0
1179,1974-11-09,Sábado,D 2º,95,21
1227,1975-05-14,Quarta-feira,D 2º,95,48
1228,1975-05-17,Sábado,D 4º,95,1
1231,1975-05-28,Quarta-feira,D 5º,95,3
1253,1975-08-16,Sábado,D 4º,95,22
1304,1976-02-28,Sábado,D 4º,95,51
1320,1976-05-08,Sábado,D 2º,95,16
1320,1976-05-08,Sábado,D 5º,95,0
1330,1976-06-12,Sábado,D 1º,95,10
1340,1976-07-17,Sábado,D 3º,95,10
1436,1977-07-20,Quarta-feira,D 1º,95,96
