Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
11,1962-10-27,Sábado,D 4º,23,11
48,1963-03-16,Sábado,D 2º,23,37
85,1963-07-31,Quarta-feira,D 4º,23,37
95,1963-09-04,Quarta-feira,D 1º,23,10
96,1963-09-11,Quarta-feira,D 1º,23,1
98,1963-09-18,Quarta-feira,D 4º,23,2
108,1963-10-23,Quarta-feira,D 5º,23,10
121,1963-12-11,Quarta-feira,D 4º,23,13
125,1963-12-28,Sábado,D 3º,23,4
137,1964-02-15,Sábado,D 3º,23,12
187,1964-08-12,Quarta-feira,D 2º,23,50
191,1964-08-29,Sábado,D 4º,23,4
199,1964-09-26,Sábado,D 5º,23,8
244,1965-03-13,Sábado,D 5º,23,45
246,1965-03-20,Sábado,D 5º,23,2
253,1965-04-14,Quarta-feira,D 2º,23,7
269,1965-06-16,Quarta-feira,D 3º,23,16
286,1965-08-14,Sábado,D 2º,23,17
292,1965-09-04,Sábado,D 4º,23,6
305,1965-10-20,Quarta-feira,D 4º,23,13
349,1966-04-02,Sábado,D 2º,23,44
366,1966-06-01,Quarta-feira,D 2º,23,17
372,1966-06-22,Quarta-feira,D 5º,23,6
389,1966-08-20,Sábado,D 2º,23,17
389,1966-08-20,Sábado,D 5º,23,0
395,1966-09-14,Quarta-feira,D 4º,23,6
397,1966-09-21,Quarta-feira,D 4º,23,2
414,1966-11-23,Quarta-feira,D 5º,23,17
447,1967-03-22,Quarta-feira,D 3º,23,33
450,1967-04-01,Sábado,D 5º,23,3
519,1967-12-02,Sábado,D 5º,23,69
520,1967-12-06,Quarta-feira,D 4º,23,1
590,1968-08-14,Quarta-feira,D 4º,23,70
599,1968-09-18,Quarta-feira,D 2º,23,9
618,1968-11-27,Quarta-feira,D 4º,23,19
624,1968-12-18,Quarta-feira,D 2º,23,6
646,1969-03-15,Sábado,D 1º,23,22
648,1969-03-22,Sábado,D 4º,23,2
659,1969-05-03,Sábado,D 4º,23,11
681,1969-07-19,Sábado,D 4º,23,22
710,1969-10-29,Quarta-feira,D 3º,23,29
712,1969-11-05,Quarta-feira,D 5º,23,2
729,1970-01-14,Quarta-feira,D 4º,23,17
751,1970-04-08,Quarta-feira,D 4º,23,22
756,1970-04-25,Sábado,D 1º,23,5
804,1970-10-10,Sábado,D 1º,23,48
823,1970-12-16,Quarta-feira,D 3º,23,19
827,1971-01-06,Quarta-feira,D 5º,23,4
842,1971-03-06,Sábado,D 1º,23,15
858,1971-05-12,Quarta-feira,D 2º,23,16
