Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
59,1963-04-27,Sábado,D 5º,27,59
62,1963-05-11,Sábado,D 2º,27,3
64,1963-05-18,Sábado,D 5º,27,2
65,1963-05-22,Quarta-feira,D 2º,27,1
165,1964-05-27,Quarta-feira,D 3º,27,100
188,1964-08-19,Quarta-feira,D 4º,27,23
209,1964-10-31,Sábado,D 3º,27,21
261,1965-05-19,Quarta-feira,D 5º,27,52
280,1965-07-24,Sábado,D 2º,27,19
309,1965-11-03,Quarta-feira,D 5º,27,29
321,1965-12-15,Quarta-feira,D 4º,27,12
332,1966-01-29,Sábado,D 4º,27,11
391,1966-08-27,Sábado,D 4º,27,59
402,1966-10-08,Sábado,D 4º,27,11
446,1967-03-18,Sábado,D 5º,27,44
489,1967-08-16,Quarta-feira,D 1º,27,43
495,1967-09-06,Quarta-feira,D 4º,27,6
550,1968-03-23,Sábado,D 3º,27,55
556,1968-04-13,Sábado,D 1º,27,6
563,1968-05-11,Sábado,D 3º,27,7
570,1968-06-05,Quarta-feira,D 3º,27,7
585,1968-07-27,Sábado,D 4º,27,15
605,1968-10-09,Quarta-feira,D 1º,27,20
658,1969-04-30,Quarta-feira,D 2º,27,53
684,1969-07-30,Quarta-feira,D 2º,27,26
694,1969-09-03,Quarta-feira,D 2º,27,10
736,1970-02-07,Sábado,D 5º,27,42
761,1970-05-13,Quarta-feira,D 4º,27,25
793,1970-09-02,Quarta-feira,D 2º,27,32
796,1970-09-12,Sábado,D 4º,27,3
797,1970-09-16,Quarta-feira,D 5º,27,1
843,1971-03-10,Quarta-feira,D 4º,27,46
876,1971-07-14,Quarta-feira,D 1º,27,33
880,1971-07-28,Quarta-feira,D 3º,27,4
884,1971-08-14,Sábado,D 3º,27,4
884,1971-08-14,Sábado,D 4º,27,0
885,1971-08-18,Quarta-feira,D 1º,27,1
888,1971-08-28,Sábado,D 5º,27,3
896,1971-09-29,Quarta-feira,D 5º,27,8
909,1971-11-20,Sábado,D 2º,27,13
914,1971-12-08,Quarta-feira,D 2º,27,5
982,1972-10-11,Quarta-feira,D 3º,27,68
1010,1973-02-10,Sábado,D 3º,27,28
1027,1973-04-28,Sábado,D 1º,27,17
1040,1973-06-13,Quarta-feira,D 3º,27,13
1043,1973-06-23,Sábado,D 3º,27,3
1050,1973-07-18,Quarta-feira,D 4º,27,7
1057,1973-08-15,Quarta-feira,D 2º,27,7
1058,1973-08-18,Sábado,D 2º,27,1
1061,1973-08-29,Quarta-feira,D 3º,27,3
