Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
2,1962-09-22,Sábado,D 4º,68,2
97,1963-09-14,Sábado,D 2º,68,95
110,1963-10-30,Quarta-feira,D 3º,68,13
129,1964-01-15,Quarta-feira,D 1º,68,19
159,1964-05-06,Quarta-feira,D 2º,68,30
167,1964-06-03,Quarta-feira,D 2º,68,8
254,1965-04-17,Sábado,D 5º,68,87
262,1965-05-22,Sábado,D 3º,68,8
271,1965-06-23,Quarta-feira,D 4º,68,9
332,1966-01-29,Sábado,D 3º,68,61
338,1966-02-19,Sábado,D 2º,68,6
343,1966-03-12,Sábado,D 1º,68,5
344,1966-03-16,Quarta-feira,D 2º,68,1
363,1966-05-21,Sábado,D 2º,68,19
370,1966-06-15,Quarta-feira,D 3º,68,7
377,1966-07-07,Quinta-feira,D 2º,68,7
391,1966-08-27,Sábado,D 3º,68,14
426,1967-01-04,Quarta-feira,D 2º,68,35
440,1967-02-25,Sábado,D 4º,68,14
534,1968-01-24,Quarta-feira,D 2º,68,94
564,1968-05-15,Quarta-feira,D 1º,68,30
582,1968-07-17,Quarta-feira,D 4º,68,18
588,1968-08-07,Quarta-feira,D 1º,68,6
591,1968-08-17,Sábado,D 4º,68,3
598,1968-09-14,Sábado,D 4º,68,7
677,1969-07-05,Sábado,D 2º,68,79
682,1969-07-23,Quarta-feira,D 4º,68,5
698,1969-09-17,Quarta-feira,D 4º,68,16
726,1969-12-31,Quarta-feira,D 5º,68,28
792,1970-08-29,Sábado,D 5º,68,66
803,1970-10-07,Quarta-feira,D 5º,68,11
812,1970-11-07,Sábado,D 1º,68,9
865,1971-06-05,Sábado,D 4º,68,53
879,1971-07-24,Sábado,D 5º,68,14
911,1971-11-27,Sábado,D 3º,68,32
916,1971-12-15,Quarta-feira,D 2º,68,5
926,1972-02-05,Sábado,D 2º,68,10
966,1972-07-29,Sábado,D 1º,68,40
992,1972-11-25,Sábado,D 1º,68,26
1001,1973-01-06,Sábado,D 2º,68,9
1006,1973-01-27,Sábado,D 2º,68,5
1074,1973-10-13,Sábado,D 1º,68,68
1086,1973-11-24,Sábado,D 5º,68,12
1116,1974-03-20,Quarta-feira,D 5º,68,30
1122,1974-04-10,Quarta-feira,D 2º,68,6
1128,1974-05-04,Sábado,D 2º,68,6
1147,1974-07-10,Quarta-feira,D 5º,68,19
1165,1974-09-18,Quarta-feira,D 3º,68,18
1173,1974-10-16,Quarta-feira,D 3º,68,8
1229,1975-05-21,Quarta-feira,D 5º,68,56
1252,1975-08-13,Quarta-feira,D 2º,68,23
1255,1975-08-23,Sábado,D 2º,68,3
1267,1975-10-04,Sábado,D 3º,68,12
1279,1975-11-22,Sábado,D 3º,68,12
1282,1975-12-03,Quarta-feira,D 4º,68,3
1299,1976-02-11,Quarta-feira,D 2º,68,17
1311,1976-03-27,Sábado,D 2º,68,12
1322,1976-05-15,Sábado,D 3º,68,11
1325,1976-05-26,Quarta-feira,D 1º,68,3
1362,1976-10-06,Quarta-feira,D 4º,68,37
1368,1976-10-30,Sábado,D 5º,68,6
1383,1976-12-29,Quarta-feira,D 4º,68,15
1458,1977-10-15,Sábado,D 4º,68,75
1461,1977-10-26,Quarta-feira,D 4º,68,3
1495,1978-03-11,Sábado,D 3º,68,34
1508,1978-05-03,Quarta-feira,D 2º,68,13
1514,1978-05-27,Sábado,D 1º,68,6
1517,1978-06-07,Quarta-feira,D 4º,68,3
1535,1978-08-12,Sábado,D 1º,68,18
1537,1978-08-19,Sábado,D 1º,68,2
1540,1978-08-30,Quarta-feira,D 5º,68,3
1557,1978-11-01,Quarta-feira,D 5º,68,17
1561,1978-11-22,Quarta-feira,D 4º,68,4
1573,1979-01-06,Sábado,D 4º,68,12
1581,1979-02-07,Quarta-feira,D 1º,68,8
1598,1979-04-11,Quarta-feira,D 3º,68,17
1662,1979-12-22,Sábado,D 2º,68,64
1683,1980-03-22,Sábado,D 3º,68,21
1701,1980-06-04,Quarta-feira,D 4º,68,18
1705,1980-06-18,Quarta-feira,D 5º,68,4
1732,1980-09-24,Quarta-feira,D 3º,68,27
1741,1980-10-29,Quarta-feira,D 3º,68,9
1763,1981-01-24,Sábado,D 4º,68,22
1778,1981-03-21,Sábado,D 3º,68,15
1804,1981-07-08,Quarta-feira,D 2º,68,26
1804,1981-07-08,Quarta-feira,D 4º,68,0
1887,1982-06-02,Quarta-feira,D 1º,68,83
1918,1982-09-25,Sábado,D 3º,68,31
1938,1982-12-15,Quarta-feira,D 2º,68,20
1939,1982-12-18,Sábado,D 5º,68,1
1940,1982-12-22,Quarta-feira,D 5º,68,1
1945,1983-01-15,Sábado,D 4º,68,5
1970,1983-04-20,Quarta-feira,D 5º,68,25
1975,1983-05-11,Quarta-feira,D 5º,68,5
1983,1983-06-08,Quarta-feira,D 2º,68,8
2008,1983-09-10,Sábado,D 1º,68,25
2048,1984-02-18,Sábado,D 3º,68,40
2069,1984-05-19,Sábado,D 3º,68,21
2085,1984-07-18,Quarta-feira,D 3º,68,16
2152,1985-04-17,Quarta-feira,D 3º,68,67
2153,1985-04-20,Sábado,D 5º,68,1
2180,1985-07-31,Quarta-feira,D 3º,68,27
2221,1986-01-08,Quarta-feira,D 3º,68,41
2232,1986-02-19,Quarta-feira,D 4º,68,11
2233,1986-02-22,Sábado,D 1º,68,1
2238,1986-03-12,Quarta-feira,D 4º,68,5
2242,1986-03-26,Quarta-feira,D 2º,68,4
2298,1986-11-09,Domingo,D 4º,68,56
2385,1987-10-07,Quarta-feira,D 3º,68,87
2448,1988-06-18,Sábado,D 4º,68,63
2449,1988-06-22,Quarta-feira,D 4º,68,1
2467,1988-08-24,Quarta-feira,D 1º,68,18
2483,1988-10-26,Quarta-feira,D 2º,68,16
2490,1988-11-26,Sábado,D 2º,68,7
2495,1988-12-14,Quarta-feira,D 3º,68,5
2505,1989-01-28,Sábado,D 2º,68,10
2531,1989-05-13,Sábado,D 3º,68,26
2550,1989-07-26,Quarta-feira,D 1º,68,19
2560,1989-09-02,Sábado,D 5º,68,10
2561,1989-09-06,Quarta-feira,D 4º,68,1
2572,1989-10-21,Sábado,D 1º,68,11
2579,1989-11-25,Sábado,D 1º,68,7
2656,1990-10-27,Sábado,D 4º,68,77
2659,1990-11-10,Sábado,D 4º,68,3
2692,1991-03-23,Sábado,D 3º,68,33
2709,1991-06-01,Sábado,D 1º,68,17
2722,1991-07-24,Quarta-feira,D 5º,68,13
2727,1991-08-10,Sábado,D 1º,68,5
2730,1991-08-21,Quarta-feira,D 1º,68,3
2734,1991-09-04,Quarta-feira,D 1º,68,4
2736,1991-09-14,Sábado,D 2º,68,2
2740,1991-09-28,Sábado,D 4º,68,4
2744,1991-10-16,Quarta-feira,D 1º,68,4
2746,1991-10-23,Quarta-feira,D 5º,68,2
2748,1991-10-30,Quarta-feira,D 5º,68,2
2751,1991-11-16,Sábado,D 3º,68,3
2836,1993-02-13,Sábado,D 2º,68,85
2842,1993-03-27,Sábado,D 2º,68,6
2853,1993-06-19,Sábado,D 5º,68,11
2858,1993-07-24,Sábado,D 1º,68,5
2860,1993-08-07,Sábado,D 2º,68,2
2860,1993-08-07,Sábado,D 4º,68,0
2872,1993-10-23,Sábado,D 5º,68,12
2889,1994-01-12,Quarta-feira,D 1º,68,17
2899,1994-02-19,Sábado,D 4º,68,10
2917,1994-04-30,Sábado,D 5º,68,18
2922,1994-05-18,Quarta-feira,D 4º,68,5
2925,1994-05-28,Sábado,D 2º,68,3
2946,1994-08-20,Sábado,D 1º,68,21
2966,1994-11-12,Sábado,D 5º,68,20
3010,1995-05-24,Quarta-feira,D 4º,68,44
3030,1995-08-12,Sábado,D 5º,68,20
3052,1995-10-18,Quarta-feira,D 1º,68,22
3088,1996-04-20,Sábado,D 1º,68,36
3098,1996-05-29,Quarta-feira,D 1º,68,10
3107,1996-07-06,Sábado,D 3º,68,9
3120,1996-08-28,Quarta-feira,D 2º,68,13
3134,1996-10-26,Sábado,D 2º,68,14
3186,1997-06-11,Quarta-feira,D 2º,68,52
3203,1997-08-16,Sábado,D 5º,68,17
