Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
30,1963-01-09,Quarta-feira,D 2º,12,30
65,1963-05-22,Quarta-feira,D 4º,12,35
83,1963-07-24,Quarta-feira,D 3º,12,18
109,1963-10-26,Sábado,D 2º,12,26
143,1964-03-07,Sábado,D 4º,12,34
147,1964-03-21,Sábado,D 3º,12,4
175,1964-07-01,Quarta-feira,D 5º,12,28
182,1964-07-25,Sábado,D 1º,12,7
184,1964-08-01,Sábado,D 3º,12,2
238,1965-02-17,Quarta-feira,D 3º,12,54
260,1965-05-15,Sábado,D 2º,12,22
266,1965-06-05,Sábado,D 5º,12,6
267,1965-06-09,Quarta-feira,D 3º,12,1
274,1965-07-03,Sábado,D 2º,12,7
285,1965-08-11,Quarta-feira,D 3º,12,11
356,1966-04-27,Quarta-feira,D 1º,12,71
356,1966-04-27,Quarta-feira,D 2º,12,0
381,1966-07-23,Sábado,D 2º,12,25
412,1966-11-16,Quarta-feira,D 1º,12,31
438,1967-02-18,Sábado,D 4º,12,26
452,1967-04-08,Sábado,D 4º,12,14
468,1967-06-03,Sábado,D 4º,12,16
489,1967-08-16,Quarta-feira,D 5º,12,21
516,1967-11-22,Quarta-feira,D 1º,12,27
531,1968-01-13,Sábado,D 4º,12,15
544,1968-03-02,Sábado,D 4º,12,13
554,1968-04-06,Sábado,D 1º,12,10
573,1968-06-15,Sábado,D 3º,12,19
574,1968-06-19,Quarta-feira,D 1º,12,1
590,1968-08-14,Quarta-feira,D 1º,12,16
594,1968-08-28,Quarta-feira,D 1º,12,4
598,1968-09-14,Sábado,D 1º,12,4
626,1968-12-28,Sábado,D 5º,12,28
675,1969-06-28,Sábado,D 2º,12,49
698,1969-09-17,Quarta-feira,D 3º,12,23
798,1970-09-19,Sábado,D 2º,12,100
805,1970-10-14,Quarta-feira,D 1º,12,7
810,1970-10-31,Sábado,D 2º,12,5
817,1970-11-25,Quarta-feira,D 3º,12,7
823,1970-12-16,Quarta-feira,D 4º,12,6
824,1970-12-19,Sábado,D 3º,12,1
855,1971-04-28,Quarta-feira,D 1º,12,31
855,1971-04-28,Quarta-feira,D 2º,12,0
855,1971-04-28,Quarta-feira,D 5º,12,0
896,1971-09-29,Quarta-feira,D 4º,12,41
931,1972-03-04,Sábado,D 2º,12,35
951,1972-05-24,Quarta-feira,D 1º,12,20
968,1972-08-09,Quarta-feira,D 2º,12,17
976,1972-09-16,Sábado,D 2º,12,8
1017,1973-03-17,Sábado,D 1º,12,41
1021,1973-04-04,Quarta-feira,D 4º,12,4
1024,1973-04-14,Sábado,D 4º,12,3
1024,1973-04-14,Sábado,D 5º,12,0
1049,1973-07-14,Sábado,D 2º,12,25
1129,1974-05-08,Quarta-feira,D 1º,12,80
1149,1974-07-17,Quarta-feira,D 4º,12,20
1172,1974-10-12,Sábado,D 2º,12,23
1222,1975-04-23,Quarta-feira,D 4º,12,50
1255,1975-08-23,Sábado,D 5º,12,33
1265,1975-09-27,Sábado,D 1º,12,10
1313,1976-04-03,Sábado,D 3º,12,48
1316,1976-04-14,Quarta-feira,D 5º,12,3
1347,1976-08-14,Sábado,D 5º,12,31
1350,1976-08-25,Quarta-feira,D 4º,12,3
1376,1976-12-01,Quarta-feira,D 5º,12,26
1403,1977-03-19,Sábado,D 1º,12,27
1540,1978-08-30,Quarta-feira,D 1º,12,137
1549,1978-09-30,Sábado,D 5º,12,9
1561,1978-11-22,Quarta-feira,D 5º,12,12
1592,1979-03-21,Quarta-feira,D 5º,12,31
1612,1979-06-13,Quarta-feira,D 2º,12,20
1642,1979-10-03,Quarta-feira,D 2º,12,30
1659,1979-12-12,Quarta-feira,D 4º,12,17
1682,1980-03-19,Quarta-feira,D 5º,12,23
1711,1980-07-09,Quarta-feira,D 4º,12,29
1751,1980-12-06,Sábado,D 3º,12,40
1768,1981-02-11,Quarta-feira,D 5º,12,17
1775,1981-03-11,Quarta-feira,D 3º,12,7
1797,1981-06-13,Sábado,D 1º,12,22
1798,1981-06-17,Quarta-feira,D 4º,12,1
1799,1981-06-20,Sábado,D 4º,12,1
1836,1981-11-04,Quarta-feira,D 5º,12,37
1839,1981-11-18,Quarta-feira,D 3º,12,3
1868,1982-03-10,Quarta-feira,D 2º,12,29
1877,1982-04-17,Sábado,D 3º,12,9
1901,1982-07-21,Quarta-feira,D 1º,12,24
1907,1982-08-14,Sábado,D 3º,12,6
1955,1983-02-23,Quarta-feira,D 1º,12,48
1971,1983-04-23,Sábado,D 5º,12,16
2017,1983-10-19,Quarta-feira,D 1º,12,46
2035,1984-01-04,Quarta-feira,D 4º,12,18
2057,1984-03-28,Quarta-feira,D 3º,12,22
2059,1984-04-04,Quarta-feira,D 1º,12,2
2072,1984-05-30,Quarta-feira,D 5º,12,13
2094,1984-08-22,Quarta-feira,D 2º,12,22
2148,1985-03-30,Sábado,D 5º,12,54
2158,1985-05-11,Sábado,D 2º,12,10
2163,1985-05-29,Quarta-feira,D 2º,12,5
2216,1985-12-14,Sábado,D 4º,12,53
2230,1986-02-08,Sábado,D 4º,12,14
2272,1986-07-23,Quarta-feira,D 1º,12,42
2299,1986-11-12,Quarta-feira,D 2º,12,27
2303,1986-11-29,Sábado,D 2º,12,4
2310,1986-12-31,Quarta-feira,D 1º,12,7
2349,1987-05-27,Quarta-feira,D 1º,12,39
2358,1987-06-27,Sábado,D 3º,12,9
2367,1987-07-29,Quarta-feira,D 1º,12,9
2373,1987-08-19,Quarta-feira,D 4º,12,6
2378,1987-09-05,Sábado,D 2º,12,5
2383,1987-09-30,Quarta-feira,D 5º,12,5
2404,1987-12-23,Quarta-feira,D 2º,12,21
2419,1988-02-24,Quarta-feira,D 2º,12,15
2456,1988-07-16,Sábado,D 2º,12,37
2507,1989-02-04,Sábado,D 1º,12,51
2537,1989-06-07,Quarta-feira,D 3º,12,30
2543,1989-07-01,Sábado,D 4º,12,6
2570,1989-10-15,Domingo,D 3º,12,27
2593,1990-02-07,Quarta-feira,D 4º,12,23
2599,1990-03-03,Sábado,D 1º,12,6
2622,1990-06-09,Sábado,D 3º,12,23
2627,1990-07-07,Sábado,D 1º,12,5
2628,1990-07-11,Quarta-feira,D 5º,12,1
2637,1990-08-11,Sábado,D 5º,12,9
2638,1990-08-15,Quarta-feira,D 3º,12,1
2656,1990-10-27,Sábado,D 5º,12,18
2761,1991-12-28,Sábado,D 4º,12,105
2834,1993-01-30,Sábado,D 3º,12,73
2850,1993-05-29,Sábado,D 3º,12,16
2862,1993-08-21,Sábado,D 2º,12,12
2899,1994-02-19,Sábado,D 2º,12,37
