Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
63,1963-05-15,Quarta-feira,D 4º,53,63
89,1963-08-14,Quarta-feira,D 3º,53,26
110,1963-10-30,Quarta-feira,D 1º,53,21
144,1964-03-11,Quarta-feira,D 2º,53,34
198,1964-09-23,Quarta-feira,D 5º,53,54
203,1964-10-10,Sábado,D 2º,53,5
212,1964-11-11,Quarta-feira,D 5º,53,9
227,1965-01-06,Quarta-feira,D 4º,53,15
234,1965-02-03,Quarta-feira,D 2º,53,7
257,1965-05-05,Quarta-feira,D 2º,53,23
280,1965-07-24,Sábado,D 1º,53,23
284,1965-08-07,Sábado,D 3º,53,4
312,1965-11-13,Sábado,D 5º,53,28
317,1965-12-01,Quarta-feira,D 4º,53,5
353,1966-04-16,Sábado,D 1º,53,36
358,1966-05-04,Quarta-feira,D 4º,53,5
364,1966-05-25,Quarta-feira,D 5º,53,6
365,1966-05-28,Sábado,D 4º,53,1
370,1966-06-15,Quarta-feira,D 2º,53,5
385,1966-08-06,Sábado,D 3º,53,15
408,1966-10-29,Sábado,D 5º,53,23
431,1967-01-21,Sábado,D 2º,53,23
436,1967-02-11,Sábado,D 5º,53,5
450,1967-04-01,Sábado,D 2º,53,14
451,1967-04-05,Quarta-feira,D 1º,53,1
458,1967-04-29,Sábado,D 3º,53,7
478,1967-07-08,Sábado,D 5º,53,20
494,1967-09-02,Sábado,D 1º,53,16
495,1967-09-06,Quarta-feira,D 2º,53,1
527,1967-12-30,Sábado,D 2º,53,32
551,1968-03-27,Quarta-feira,D 4º,53,24
557,1968-04-17,Quarta-feira,D 1º,53,6
601,1968-09-25,Quarta-feira,D 5º,53,44
617,1968-11-23,Sábado,D 3º,53,16
664,1969-05-21,Quarta-feira,D 3º,53,47
679,1969-07-12,Sábado,D 2º,53,15
707,1969-10-18,Sábado,D 3º,53,28
719,1969-12-03,Quarta-feira,D 3º,53,12
741,1970-02-28,Sábado,D 3º,53,22
746,1970-03-18,Quarta-feira,D 1º,53,5
746,1970-03-18,Quarta-feira,D 2º,53,0
750,1970-04-04,Sábado,D 2º,53,4
758,1970-05-02,Sábado,D 2º,53,8
765,1970-05-27,Quarta-feira,D 5º,53,7
791,1970-08-26,Quarta-feira,D 5º,53,26
833,1971-01-30,Sábado,D 5º,53,42
857,1971-05-08,Sábado,D 4º,53,24
904,1971-10-27,Quarta-feira,D 5º,53,47
912,1971-12-01,Quarta-feira,D 4º,53,8
963,1972-07-15,Sábado,D 2º,53,51
967,1972-08-02,Quarta-feira,D 4º,53,4
973,1972-09-02,Sábado,D 5º,53,6
985,1972-10-25,Quarta-feira,D 2º,53,12
997,1972-12-13,Quarta-feira,D 2º,53,12
1002,1973-01-10,Quarta-feira,D 4º,53,5
1011,1973-02-17,Sábado,D 1º,53,9
1013,1973-02-24,Sábado,D 5º,53,2
1032,1973-05-16,Quarta-feira,D 2º,53,19
1059,1973-08-22,Quarta-feira,D 2º,53,27
1060,1973-08-25,Sábado,D 3º,53,1
1060,1973-08-25,Sábado,D 4º,53,0
1161,1974-08-31,Sábado,D 4º,53,101
1181,1974-11-16,Sábado,D 2º,53,20
1190,1974-12-18,Quarta-feira,D 3º,53,9
1210,1975-03-08,Sábado,D 4º,53,20
1224,1975-04-30,Quarta-feira,D 4º,53,14
1239,1975-06-25,Quarta-feira,D 2º,53,15
1240,1975-06-28,Sábado,D 2º,53,1
1247,1975-07-23,Quarta-feira,D 5º,53,7
1285,1975-12-13,Sábado,D 4º,53,38
1286,1975-12-17,Quarta-feira,D 3º,53,1
1290,1976-01-07,Quarta-feira,D 4º,53,4
1293,1976-01-17,Sábado,D 4º,53,3
1303,1976-02-25,Quarta-feira,D 3º,53,10
1311,1976-03-27,Sábado,D 4º,53,8
1312,1976-03-31,Quarta-feira,D 3º,53,1
1327,1976-06-02,Quarta-feira,D 5º,53,15
1332,1976-06-19,Sábado,D 5º,53,5
1346,1976-08-11,Quarta-feira,D 3º,53,14
1353,1976-09-04,Sábado,D 1º,53,7
1356,1976-09-15,Quarta-feira,D 3º,53,3
1363,1976-10-13,Quarta-feira,D 5º,53,7
1504,1978-04-15,Sábado,D 4º,53,141
1518,1978-06-10,Sábado,D 1º,53,14
1548,1978-09-27,Quarta-feira,D 3º,53,30
1549,1978-09-30,Sábado,D 2º,53,1
1551,1978-10-11,Quarta-feira,D 5º,53,2
1558,1978-11-04,Sábado,D 2º,53,7
1563,1978-11-29,Quarta-feira,D 1º,53,5
1578,1979-01-24,Quarta-feira,D 3º,53,15
1599,1979-04-18,Quarta-feira,D 5º,53,21
1600,1979-04-25,Quarta-feira,D 3º,53,1
1687,1980-04-09,Quarta-feira,D 3º,53,87
1735,1980-10-04,Sábado,D 5º,53,48
1742,1980-11-01,Sábado,D 1º,53,7
1775,1981-03-11,Quarta-feira,D 1º,53,33
1788,1981-05-09,Sábado,D 4º,53,13
1818,1981-08-29,Sábado,D 2º,53,30
1836,1981-11-04,Quarta-feira,D 2º,53,18
1854,1982-01-16,Sábado,D 1º,53,18
1857,1982-01-27,Quarta-feira,D 1º,53,3
1883,1982-05-19,Quarta-feira,D 3º,53,26
1886,1982-05-29,Sábado,D 3º,53,3
1902,1982-07-24,Sábado,D 1º,53,16
1907,1982-08-14,Sábado,D 5º,53,5
