Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
17,1962-11-21,Quarta-feira,D 1º,13,17
20,1962-12-01,Sábado,D 1º,13,3
22,1962-12-12,Quarta-feira,D 5º,13,2
53,1963-04-03,Quarta-feira,D 1º,13,31
66,1963-05-25,Sábado,D 2º,13,13
92,1963-08-24,Sábado,D 2º,13,26
104,1963-10-09,Quarta-feira,D 4º,13,12
106,1963-10-16,Quarta-feira,D 4º,13,2
116,1963-11-23,Sábado,D 1º,13,10
117,1963-11-27,Quarta-feira,D 1º,13,1
125,1963-12-28,Sábado,D 1º,13,8
130,1964-01-18,Sábado,D 3º,13,5
135,1964-02-05,Quarta-feira,D 1º,13,5
181,1964-07-22,Quarta-feira,D 1º,13,46
191,1964-08-29,Sábado,D 3º,13,10
206,1964-10-21,Quarta-feira,D 1º,13,15
221,1964-12-12,Sábado,D 5º,13,15
235,1965-02-06,Sábado,D 5º,13,14
270,1965-06-19,Sábado,D 1º,13,35
276,1965-07-10,Sábado,D 2º,13,6
297,1965-09-22,Quarta-feira,D 5º,13,21
302,1965-10-09,Sábado,D 4º,13,5
311,1965-11-10,Quarta-feira,D 2º,13,9
324,1965-12-29,Quarta-feira,D 5º,13,13
358,1966-05-04,Quarta-feira,D 5º,13,34
363,1966-05-21,Sábado,D 5º,13,5
376,1966-07-06,Quarta-feira,D 3º,13,13
398,1966-09-24,Sábado,D 4º,13,22
430,1967-01-18,Quarta-feira,D 5º,13,32
464,1967-05-20,Sábado,D 3º,13,34
466,1967-05-27,Sábado,D 4º,13,2
471,1967-06-14,Quarta-feira,D 5º,13,5
479,1967-07-12,Quarta-feira,D 4º,13,8
496,1967-09-09,Sábado,D 3º,13,17
497,1967-09-13,Quarta-feira,D 3º,13,1
511,1967-11-01,Quarta-feira,D 4º,13,14
515,1967-11-18,Sábado,D 4º,13,4
523,1967-12-16,Sábado,D 4º,13,8
524,1967-12-20,Quarta-feira,D 4º,13,1
533,1968-01-20,Sábado,D 3º,13,9
549,1968-03-20,Quarta-feira,D 1º,13,16
568,1968-05-29,Quarta-feira,D 5º,13,19
589,1968-08-10,Sábado,D 1º,13,21
613,1968-11-09,Sábado,D 2º,13,24
631,1969-01-18,Sábado,D 4º,13,18
633,1969-01-25,Sábado,D 4º,13,2
646,1969-03-15,Sábado,D 5º,13,13
649,1969-03-26,Quarta-feira,D 2º,13,3
652,1969-04-09,Quarta-feira,D 2º,13,3
662,1969-05-14,Quarta-feira,D 4º,13,10
664,1969-05-21,Quarta-feira,D 5º,13,2
680,1969-07-16,Quarta-feira,D 1º,13,16
691,1969-08-23,Sábado,D 5º,13,11
695,1969-09-06,Sábado,D 3º,13,4
699,1969-09-20,Sábado,D 5º,13,4
712,1969-11-05,Quarta-feira,D 3º,13,13
744,1970-03-11,Quarta-feira,D 1º,13,32
806,1970-10-17,Sábado,D 5º,13,62
813,1970-11-11,Quarta-feira,D 3º,13,7
827,1971-01-06,Quarta-feira,D 2º,13,14
837,1971-02-13,Sábado,D 2º,13,10
860,1971-05-19,Quarta-feira,D 1º,13,23
865,1971-06-05,Sábado,D 5º,13,5
921,1972-01-15,Sábado,D 4º,13,56
933,1972-03-11,Sábado,D 1º,13,12
952,1972-05-27,Sábado,D 3º,13,19
974,1972-09-09,Sábado,D 3º,13,22
984,1972-10-18,Quarta-feira,D 1º,13,10
987,1972-11-01,Quarta-feira,D 5º,13,3
992,1972-11-25,Sábado,D 3º,13,5
1020,1973-03-31,Sábado,D 4º,13,28
1075,1973-10-17,Quarta-feira,D 1º,13,55
1078,1973-10-27,Sábado,D 3º,13,3
1090,1973-12-08,Sábado,D 5º,13,12
1119,1974-03-30,Sábado,D 4º,13,29
1160,1974-08-28,Quarta-feira,D 3º,13,41
1182,1974-11-20,Quarta-feira,D 4º,13,22
1185,1974-11-30,Sábado,D 4º,13,3
1198,1975-01-22,Quarta-feira,D 3º,13,13
1207,1975-02-26,Quarta-feira,D 5º,13,9
1235,1975-06-11,Quarta-feira,D 3º,13,28
1237,1975-06-18,Quarta-feira,D 4º,13,2
1254,1975-08-20,Quarta-feira,D 3º,13,17
1262,1975-09-17,Quarta-feira,D 1º,13,8
1274,1975-10-29,Quarta-feira,D 3º,13,12
1274,1975-10-29,Quarta-feira,D 5º,13,0
1291,1976-01-10,Sábado,D 1º,13,17
1298,1976-02-07,Sábado,D 5º,13,7
1312,1976-03-31,Quarta-feira,D 2º,13,14
1316,1976-04-14,Quarta-feira,D 1º,13,4
1349,1976-08-21,Sábado,D 4º,13,33
1357,1976-09-18,Sábado,D 4º,13,8
1402,1977-03-16,Quarta-feira,D 5º,13,45
1459,1977-10-19,Quarta-feira,D 5º,13,57
1500,1978-04-01,Sábado,D 5º,13,41
1576,1979-01-17,Quarta-feira,D 1º,13,76
1618,1979-07-04,Quarta-feira,D 4º,13,42
1620,1979-07-11,Quarta-feira,D 2º,13,2
1680,1980-03-12,Quarta-feira,D 2º,13,60
1705,1980-06-18,Quarta-feira,D 3º,13,25
1758,1981-01-07,Quarta-feira,D 4º,13,53
1780,1981-04-01,Quarta-feira,D 5º,13,22
1783,1981-04-11,Sábado,D 1º,13,3
1787,1981-05-06,Quarta-feira,D 3º,13,4
1792,1981-05-27,Quarta-feira,D 2º,13,5
1809,1981-06-25,Quinta-feira,D 1º,13,17
1816,1981-08-22,Sábado,D 4º,13,7
1820,1981-09-05,Sábado,D 3º,13,4
1873,1982-03-31,Quarta-feira,D 1º,13,53
1883,1982-05-19,Quarta-feira,D 1º,13,10
1885,1982-05-26,Quarta-feira,D 5º,13,2
1892,1982-06-19,Sábado,D 5º,13,7
1897,1982-07-07,Quarta-feira,D 3º,13,5
1904,1982-08-04,Quarta-feira,D 4º,13,7
1932,1982-11-24,Quarta-feira,D 3º,13,28
1950,1983-02-02,Quarta-feira,D 4º,13,18
1953,1983-02-12,Sábado,D 1º,13,3
1955,1983-02-23,Quarta-feira,D 5º,13,2
1989,1983-06-29,Quarta-feira,D 5º,13,34
2012,1983-09-24,Sábado,D 3º,13,23
2019,1983-10-26,Quarta-feira,D 3º,13,7
2033,1983-12-24,Sábado,D 1º,13,14
2060,1984-04-07,Sábado,D 5º,13,27
2086,1984-07-21,Sábado,D 3º,13,26
2141,1985-03-06,Quarta-feira,D 1º,13,55
2157,1985-05-08,Quarta-feira,D 5º,13,16
2193,1985-09-18,Quarta-feira,D 1º,13,36
2209,1985-11-20,Quarta-feira,D 3º,13,16
2216,1985-12-14,Sábado,D 1º,13,7
