Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
25,1962-12-22,Sábado,D 2º,79,25
28,1963-01-02,Quarta-feira,D 3º,79,3
41,1963-02-16,Sábado,D 1º,79,13
43,1963-02-23,Sábado,D 3º,79,2
51,1963-03-27,Quarta-feira,D 2º,79,8
83,1963-07-24,Quarta-feira,D 5º,79,32
136,1964-02-08,Sábado,D 3º,79,53
164,1964-05-23,Sábado,D 3º,79,28
213,1964-11-14,Sábado,D 4º,79,49
214,1964-11-18,Quarta-feira,D 2º,79,1
214,1964-11-18,Quarta-feira,D 4º,79,0
224,1964-12-23,Quarta-feira,D 5º,79,10
262,1965-05-22,Sábado,D 4º,79,38
264,1965-05-29,Sábado,D 4º,79,2
309,1965-11-03,Quarta-feira,D 2º,79,45
349,1966-04-02,Sábado,D 5º,79,40
372,1966-06-22,Quarta-feira,D 2º,79,23
384,1966-08-03,Quarta-feira,D 4º,79,12
396,1966-09-17,Sábado,D 3º,79,12
400,1966-10-01,Sábado,D 5º,79,4
404,1966-10-15,Sábado,D 2º,79,4
409,1966-11-05,Sábado,D 1º,79,5
413,1966-11-19,Sábado,D 3º,79,4
415,1966-11-26,Sábado,D 4º,79,2
417,1966-12-03,Sábado,D 5º,79,2
442,1967-03-04,Sábado,D 2º,79,25
458,1967-04-29,Sábado,D 5º,79,16
498,1967-09-16,Sábado,D 1º,79,40
522,1967-12-13,Quarta-feira,D 4º,79,24
525,1967-12-23,Sábado,D 4º,79,3
534,1968-01-24,Quarta-feira,D 5º,79,9
557,1968-04-17,Quarta-feira,D 4º,79,23
587,1968-08-03,Sábado,D 3º,79,30
617,1968-11-23,Sábado,D 1º,79,30
624,1968-12-18,Quarta-feira,D 1º,79,7
634,1969-01-29,Quarta-feira,D 1º,79,10
644,1969-03-08,Sábado,D 3º,79,10
650,1969-03-29,Sábado,D 4º,79,6
667,1969-05-31,Sábado,D 5º,79,17
685,1969-08-02,Sábado,D 4º,79,18
713,1969-11-08,Sábado,D 5º,79,28
732,1970-01-24,Sábado,D 2º,79,19
787,1970-08-12,Quarta-feira,D 5º,79,55
790,1970-08-22,Sábado,D 2º,79,3
793,1970-09-02,Quarta-feira,D 4º,79,3
798,1970-09-19,Sábado,D 1º,79,5
901,1971-10-16,Sábado,D 2º,79,103
927,1972-02-12,Sábado,D 5º,79,26
932,1972-03-08,Quarta-feira,D 3º,79,5
