Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
32,1963-01-16,Quarta-feira,D 2º,33,32
43,1963-02-23,Sábado,D 5º,33,11
55,1963-04-10,Quarta-feira,D 3º,33,12
65,1963-05-22,Quarta-feira,D 5º,33,10
68,1963-06-01,Sábado,D 4º,33,3
87,1963-08-07,Quarta-feira,D 4º,33,19
116,1963-11-23,Sábado,D 2º,33,29
134,1964-02-01,Sábado,D 1º,33,18
226,1964-12-30,Quarta-feira,D 3º,33,92
260,1965-05-15,Sábado,D 3º,33,34
312,1965-11-13,Sábado,D 2º,33,52
347,1966-03-26,Sábado,D 5º,33,35
357,1966-04-30,Sábado,D 4º,33,10
364,1966-05-25,Quarta-feira,D 2º,33,7
366,1966-06-01,Quarta-feira,D 1º,33,2
372,1966-06-22,Quarta-feira,D 3º,33,6
405,1966-10-19,Quarta-feira,D 1º,33,33
409,1966-11-05,Sábado,D 4º,33,4
414,1966-11-23,Quarta-feira,D 4º,33,5
424,1966-12-28,Quarta-feira,D 3º,33,10
433,1967-01-28,Sábado,D 1º,33,9
439,1967-02-22,Quarta-feira,D 1º,33,6
446,1967-03-18,Sábado,D 1º,33,7
455,1967-04-19,Quarta-feira,D 4º,33,9
525,1967-12-23,Sábado,D 2º,33,70
540,1968-02-14,Quarta-feira,D 4º,33,15
547,1968-03-13,Quarta-feira,D 4º,33,7
555,1968-04-10,Quarta-feira,D 1º,33,8
567,1968-05-25,Sábado,D 5º,33,12
583,1968-07-20,Sábado,D 2º,33,16
606,1968-10-12,Sábado,D 5º,33,23
613,1968-11-09,Sábado,D 4º,33,7
621,1968-12-07,Sábado,D 5º,33,8
638,1969-02-12,Quarta-feira,D 5º,33,17
672,1969-06-18,Quarta-feira,D 2º,33,34
705,1969-10-11,Sábado,D 1º,33,33
719,1969-12-03,Quarta-feira,D 5º,33,14
729,1970-01-14,Quarta-feira,D 3º,33,10
753,1970-04-15,Quarta-feira,D 2º,33,24
774,1970-06-27,Sábado,D 4º,33,21
780,1970-07-18,Sábado,D 3º,33,6
781,1970-07-22,Quarta-feira,D 2º,33,1
816,1970-11-21,Sábado,D 2º,33,35
816,1970-11-21,Sábado,D 5º,33,0
820,1970-12-05,Sábado,D 3º,33,4
828,1971-01-09,Sábado,D 3º,33,8
838,1971-02-17,Quarta-feira,D 3º,33,10
850,1971-04-03,Sábado,D 2º,33,12
909,1971-11-20,Sábado,D 3º,33,59
934,1972-03-15,Quarta-feira,D 4º,33,25
959,1972-06-28,Quarta-feira,D 5º,33,25
969,1972-08-12,Sábado,D 5º,33,10
972,1972-08-30,Quarta-feira,D 5º,33,3
979,1972-09-30,Sábado,D 5º,33,7
986,1972-10-28,Sábado,D 2º,33,7
1032,1973-05-16,Quarta-feira,D 1º,33,46
1033,1973-05-19,Sábado,D 3º,33,1
1036,1973-05-30,Quarta-feira,D 4º,33,3
1051,1973-07-21,Sábado,D 2º,33,15
1096,1974-01-05,Sábado,D 1º,33,45
1104,1974-02-02,Sábado,D 4º,33,8
1127,1974-04-27,Sábado,D 4º,33,23
1134,1974-05-25,Sábado,D 1º,33,7
1144,1974-06-29,Sábado,D 5º,33,10
1188,1974-12-11,Quarta-feira,D 1º,33,44
1256,1975-08-27,Quarta-feira,D 4º,33,68
1257,1975-08-30,Sábado,D 4º,33,1
1262,1975-09-17,Quarta-feira,D 5º,33,5
1266,1975-10-01,Quarta-feira,D 1º,33,4
1276,1975-11-05,Quarta-feira,D 5º,33,10
1289,1975-12-31,Quarta-feira,D 5º,33,13
1294,1976-01-21,Quarta-feira,D 3º,33,5
1307,1976-03-13,Sábado,D 3º,33,13
1336,1976-07-03,Sábado,D 3º,33,29
1358,1976-09-22,Quarta-feira,D 1º,33,22
1359,1976-09-25,Sábado,D 4º,33,1
1403,1977-03-19,Sábado,D 4º,33,44
1408,1977-04-06,Quarta-feira,D 5º,33,5
1413,1977-04-27,Quarta-feira,D 5º,33,5
1482,1978-01-18,Quarta-feira,D 3º,33,69
1488,1978-02-15,Quarta-feira,D 3º,33,6
1508,1978-05-03,Quarta-feira,D 5º,33,20
1531,1978-07-26,Quarta-feira,D 3º,33,23
1536,1978-08-16,Quarta-feira,D 3º,33,5
1544,1978-09-13,Quarta-feira,D 2º,33,8
1577,1979-01-20,Sábado,D 2º,33,33
1581,1979-02-07,Quarta-feira,D 3º,33,4
1591,1979-03-17,Sábado,D 3º,33,10
1600,1979-04-25,Quarta-feira,D 4º,33,9
1636,1979-09-12,Quarta-feira,D 1º,33,36
1648,1979-10-27,Sábado,D 3º,33,12
1709,1980-07-02,Quarta-feira,D 4º,33,61
1719,1980-08-09,Sábado,D 1º,33,10
1747,1980-11-22,Sábado,D 5º,33,28
1785,1981-04-25,Sábado,D 4º,33,38
1813,1981-08-12,Quarta-feira,D 5º,33,28
1818,1981-08-29,Sábado,D 3º,33,5
1891,1982-06-16,Quarta-feira,D 4º,33,73
1927,1982-10-30,Sábado,D 4º,33,36
1929,1982-11-13,Sábado,D 2º,33,2
