Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
23,1962-12-15,Sábado,MC 5º,94,23
24,1962-12-19,Quarta-feira,MC 1º,94,1
30,1963-01-09,Quarta-feira,MC 5º,94,6
31,1963-01-12,Sábado,MC 2º,94,1
33,1963-01-19,Sábado,MC 4º,94,2
35,1963-01-26,Sábado,MC 1º,94,2
62,1963-05-11,Sábado,MC 4º,94,27
66,1963-05-25,Sábado,MC 1º,94,4
69,1963-06-05,Quarta-feira,MC 5º,94,3
81,1963-07-17,Quarta-feira,MC 2º,94,12
99,1963-09-21,Sábado,MC 2º,94,18
99,1963-09-21,Sábado,MC 3º,94,0
145,1964-03-14,Sábado,MC 2º,94,46
164,1964-05-23,Sábado,MC 4º,94,19
166,1964-05-30,Sábado,MC 1º,94,2
203,1964-10-10,Sábado,MC 1º,94,37
223,1964-12-19,Sábado,MC 3º,94,20
244,1965-03-13,Sábado,MC 4º,94,21
266,1965-06-05,Sábado,MC 5º,94,22
279,1965-07-21,Quarta-feira,MC 5º,94,13
349,1966-04-02,Sábado,MC 4º,94,70
402,1966-10-08,Sábado,MC 2º,94,53
449,1967-03-29,Quarta-feira,MC 3º,94,47
453,1967-04-12,Quarta-feira,MC 3º,94,4
456,1967-04-22,Sábado,MC 4º,94,3
459,1967-05-03,Quarta-feira,MC 1º,94,3
461,1967-05-10,Quarta-feira,MC 3º,94,2
479,1967-07-12,Quarta-feira,MC 3º,94,18
480,1967-07-15,Sábado,MC 5º,94,1
488,1967-08-12,Sábado,MC 3º,94,8
494,1967-09-02,Sábado,MC 1º,94,6
519,1967-12-02,Sábado,MC 1º,94,25
527,1967-12-30,Sábado,MC 3º,94,8
536,1968-01-31,Quarta-feira,MC 2º,94,9
569,1968-06-01,Sábado,MC 1º,94,33
628,1969-01-08,Quarta-feira,MC 1º,94,59
660,1969-05-07,Quarta-feira,MC 1º,94,32
664,1969-05-21,Quarta-feira,MC 2º,94,4
680,1969-07-16,Quarta-feira,MC 5º,94,16
687,1969-08-09,Sábado,MC 1º,94,7
691,1969-08-23,Sábado,MC 3º,94,4
709,1969-10-25,Sábado,MC 1º,94,18
723,1969-12-17,Quarta-feira,MC 1º,94,14
733,1970-01-28,Quarta-feira,MC 5º,94,10
765,1970-05-27,Quarta-feira,MC 1º,94,32
765,1970-05-27,Quarta-feira,MC 4º,94,0
783,1970-07-29,Quarta-feira,MC 5º,94,18
787,1970-08-12,Quarta-feira,MC 3º,94,4
792,1970-08-29,Sábado,MC 5º,94,5
797,1970-09-16,Quarta-feira,MC 1º,94,5
813,1970-11-11,Quarta-feira,MC 1º,94,16
839,1971-02-20,Sábado,MC 2º,94,26
855,1971-04-28,Quarta-feira,MC 1º,94,16
863,1971-05-29,Sábado,MC 4º,94,8
874,1971-07-07,Quarta-feira,MC 1º,94,11
882,1971-08-07,Sábado,MC 5º,94,8
907,1971-11-10,Quarta-feira,MC 4º,94,25
941,1972-04-12,Quarta-feira,MC 5º,94,34
942,1972-04-15,Sábado,MC 1º,94,1
984,1972-10-18,Quarta-feira,MC 4º,94,42
987,1972-11-01,Quarta-feira,MC 2º,94,3
993,1972-11-29,Quarta-feira,MC 5º,94,6
998,1972-12-16,Sábado,MC 1º,94,5
998,1972-12-16,Sábado,MC 2º,94,0
998,1972-12-16,Sábado,MC 5º,94,0
1037,1973-06-02,Sábado,MC 2º,94,39
1092,1973-12-15,Sábado,MC 1º,94,55
1164,1974-09-14,Sábado,MC 1º,94,72
1174,1974-10-19,Sábado,MC 4º,94,10
1191,1974-12-21,Sábado,MC 4º,94,17
1197,1975-01-18,Sábado,MC 1º,94,6
1217,1975-04-05,Sábado,MC 1º,94,20
1231,1975-05-28,Quarta-feira,MC 4º,94,14
1242,1975-07-05,Sábado,MC 1º,94,11
1254,1975-08-20,Quarta-feira,MC 5º,94,12
1258,1975-09-03,Quarta-feira,MC 3º,94,4
1272,1975-10-22,Quarta-feira,MC 3º,94,14
1286,1975-12-17,Quarta-feira,MC 4º,94,14
1292,1976-01-14,Quarta-feira,MC 2º,94,6
1333,1976-06-23,Quarta-feira,MC 2º,94,41
1335,1976-06-30,Quarta-feira,MC 4º,94,2
1344,1976-08-04,Quarta-feira,MC 1º,94,9
1414,1977-05-04,Quarta-feira,MC 3º,94,70
1500,1978-04-01,Sábado,MC 4º,94,86
1550,1978-10-04,Quarta-feira,MC 2º,94,50
1556,1978-10-28,Sábado,MC 4º,94,6
1563,1978-11-29,Quarta-feira,MC 2º,94,7
1587,1979-03-03,Sábado,MC 5º,94,24
1602,1979-05-09,Quarta-feira,MC 5º,94,15
1604,1979-05-16,Quarta-feira,MC 5º,94,2
1610,1979-06-06,Quarta-feira,MC 4º,94,6
1617,1979-06-30,Sábado,MC 4º,94,7
1632,1979-08-25,Sábado,MC 3º,94,15
