Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
56,1963-04-17,Quarta-feira,MC 4º,7,56
58,1963-04-24,Quarta-feira,MC 4º,7,2
65,1963-05-22,Quarta-feira,MC 5º,7,7
68,1963-06-01,Sábado,MC 4º,7,3
89,1963-08-14,Quarta-feira,MC 1º,7,21
90,1963-08-17,Sábado,MC 4º,7,1
91,1963-08-21,Quarta-feira,MC 2º,7,1
113,1963-11-13,Quarta-feira,MC 1º,7,22
115,1963-11-20,Quarta-feira,MC 1º,7,2
151,1964-04-08,Quarta-feira,MC 1º,7,36
191,1964-08-29,Sábado,MC 2º,7,40
209,1964-10-31,Sábado,MC 5º,7,18
252,1965-04-10,Sábado,MC 3º,7,43
284,1965-08-07,Sábado,MC 1º,7,32
289,1965-08-25,Quarta-feira,MC 1º,7,5
307,1965-10-27,Quarta-feira,MC 1º,7,18
310,1965-11-06,Sábado,MC 4º,7,3
313,1965-11-17,Quarta-feira,MC 5º,7,3
315,1965-11-24,Quarta-feira,MC 4º,7,2
318,1965-12-04,Sábado,MC 3º,7,3
323,1965-12-22,Quarta-feira,MC 1º,7,5
362,1966-05-18,Quarta-feira,MC 3º,7,39
370,1966-06-15,Quarta-feira,MC 1º,7,8
400,1966-10-01,Sábado,MC 1º,7,30
448,1967-03-25,Sábado,MC 4º,7,48
475,1967-06-28,Quarta-feira,MC 4º,7,27
483,1967-07-26,Quarta-feira,MC 4º,7,8
500,1967-09-23,Sábado,MC 1º,7,17
520,1967-12-06,Quarta-feira,MC 4º,7,20
554,1968-04-06,Sábado,MC 2º,7,34
615,1968-11-16,Sábado,MC 5º,7,61
623,1968-12-14,Sábado,MC 5º,7,8
658,1969-04-30,Quarta-feira,MC 1º,7,35
665,1969-05-24,Sábado,MC 1º,7,7
696,1969-09-10,Quarta-feira,MC 4º,7,31
738,1970-02-18,Quarta-feira,MC 3º,7,42
745,1970-03-14,Sábado,MC 2º,7,7
766,1970-05-30,Sábado,MC 5º,7,21
789,1970-08-19,Quarta-feira,MC 3º,7,23
793,1970-09-02,Quarta-feira,MC 3º,7,4
800,1970-09-26,Sábado,MC 5º,7,7
817,1970-11-25,Quarta-feira,MC 1º,7,17
836,1971-02-10,Quarta-feira,MC 4º,7,19
900,1971-10-13,Quarta-feira,MC 5º,7,64
909,1971-11-20,Sábado,MC 5º,7,9
919,1972-01-08,Sábado,MC 3º,7,10
925,1972-02-02,Quarta-feira,MC 5º,7,6
943,1972-04-22,Sábado,MC 5º,7,18
1032,1973-05-16,Quarta-feira,MC 4º,7,89
1042,1973-06-20,Quarta-feira,MC 3º,7,10
1043,1973-06-23,Sábado,MC 1º,7,1
1077,1973-10-24,Quarta-feira,MC 2º,7,34
1081,1973-11-07,Quarta-feira,MC 4º,7,4
1097,1974-01-09,Quarta-feira,MC 3º,7,16
1117,1974-03-23,Sábado,MC 2º,7,20
1124,1974-04-17,Quarta-feira,MC 2º,7,7
1163,1974-09-11,Quarta-feira,MC 2º,7,39
1191,1974-12-21,Sábado,MC 2º,7,28
1192,1974-12-28,Sábado,MC 2º,7,1
1248,1975-07-26,Sábado,MC 2º,7,56
1290,1976-01-07,Quarta-feira,MC 1º,7,42
1290,1976-01-07,Quarta-feira,MC 4º,7,0
1295,1976-01-28,Quarta-feira,MC 4º,7,5
1303,1976-02-25,Quarta-feira,MC 1º,7,8
1306,1976-03-10,Quarta-feira,MC 2º,7,3
1318,1976-04-28,Quarta-feira,MC 4º,7,12
1342,1976-07-24,Sábado,MC 5º,7,24
1345,1976-08-07,Sábado,MC 2º,7,3
1353,1976-09-04,Sábado,MC 2º,7,8
