Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
15,1962-11-14,Quarta-feira,MC 5º,92,15
38,1963-02-06,Quarta-feira,MC 5º,92,23
49,1963-03-20,Quarta-feira,MC 2º,92,11
66,1963-05-25,Sábado,MC 2º,92,17
79,1963-07-10,Quarta-feira,MC 2º,92,13
100,1963-09-25,Quarta-feira,MC 3º,92,21
121,1963-12-11,Quarta-feira,MC 1º,92,21
133,1964-01-29,Quarta-feira,MC 3º,92,12
163,1964-05-20,Quarta-feira,MC 3º,92,30
183,1964-07-29,Quarta-feira,MC 1º,92,20
184,1964-08-01,Sábado,MC 5º,92,1
189,1964-08-22,Sábado,MC 1º,92,5
213,1964-11-14,Sábado,MC 1º,92,24
213,1964-11-14,Sábado,MC 5º,92,0
241,1965-02-27,Sábado,MC 4º,92,28
268,1965-06-12,Sábado,MC 5º,92,27
275,1965-07-07,Quarta-feira,MC 5º,92,7
282,1965-07-31,Sábado,MC 2º,92,7
291,1965-09-01,Quarta-feira,MC 3º,92,9
304,1965-10-16,Sábado,MC 3º,92,13
314,1965-11-20,Sábado,MC 5º,92,10
319,1965-12-08,Quarta-feira,MC 3º,92,5
327,1966-01-12,Quarta-feira,MC 1º,92,8
342,1966-03-09,Quarta-feira,MC 3º,92,15
367,1966-06-04,Sábado,MC 3º,92,25
368,1966-06-08,Quarta-feira,MC 3º,92,1
414,1966-11-23,Quarta-feira,MC 3º,92,46
426,1967-01-04,Quarta-feira,MC 4º,92,12
472,1967-06-17,Sábado,MC 3º,92,46
474,1967-06-24,Sábado,MC 4º,92,2
487,1967-08-09,Quarta-feira,MC 3º,92,13
500,1967-09-23,Sábado,MC 3º,92,13
534,1968-01-24,Quarta-feira,MC 4º,92,34
538,1968-02-07,Quarta-feira,MC 5º,92,4
595,1968-08-31,Sábado,MC 2º,92,57
652,1969-04-09,Quarta-feira,MC 3º,92,57
675,1969-06-28,Sábado,MC 5º,92,23
683,1969-07-26,Sábado,MC 1º,92,8
687,1969-08-09,Sábado,MC 3º,92,4
704,1969-10-08,Quarta-feira,MC 1º,92,17
715,1969-11-19,Quarta-feira,MC 4º,92,11
731,1970-01-21,Quarta-feira,MC 4º,92,16
742,1970-03-04,Quarta-feira,MC 3º,92,11
750,1970-04-04,Sábado,MC 4º,92,8
801,1970-09-30,Quarta-feira,MC 4º,92,51
847,1971-03-24,Quarta-feira,MC 3º,92,46
891,1971-09-11,Sábado,MC 1º,92,44
907,1971-11-10,Quarta-feira,MC 5º,92,16
985,1972-10-25,Quarta-feira,MC 4º,92,78
986,1972-10-28,Sábado,MC 1º,92,1
986,1972-10-28,Sábado,MC 3º,92,0
987,1972-11-01,Quarta-feira,MC 3º,92,1
997,1972-12-13,Quarta-feira,MC 4º,92,10
1003,1973-01-13,Sábado,MC 3º,92,6
1051,1973-07-21,Sábado,MC 4º,92,48
1058,1973-08-18,Sábado,MC 1º,92,7
1061,1973-08-29,Quarta-feira,MC 5º,92,3
1107,1974-02-13,Quarta-feira,MC 1º,92,46
1110,1974-02-23,Sábado,MC 1º,92,3
1110,1974-02-23,Sábado,MC 2º,92,0
1122,1974-04-10,Quarta-feira,MC 4º,92,12
1125,1974-04-20,Sábado,MC 2º,92,3
1125,1974-04-20,Sábado,MC 4º,92,0
1132,1974-05-18,Sábado,MC 5º,92,7
1146,1974-07-06,Sábado,MC 3º,92,14
1157,1974-08-17,Sábado,MC 1º,92,11
1167,1974-09-25,Quarta-feira,MC 5º,92,10
1174,1974-10-19,Sábado,MC 5º,92,7
1196,1975-01-15,Quarta-feira,MC 1º,92,22
1225,1975-05-07,Quarta-feira,MC 1º,92,29
1232,1975-05-31,Sábado,MC 5º,92,7
1241,1975-07-02,Quarta-feira,MC 1º,92,9
1257,1975-08-30,Sábado,MC 3º,92,16
1270,1975-10-15,Quarta-feira,MC 5º,92,13
1271,1975-10-18,Sábado,MC 3º,92,1
1287,1975-12-20,Sábado,MC 2º,92,16
1303,1976-02-25,Quarta-feira,MC 4º,92,16
1308,1976-03-17,Quarta-feira,MC 1º,92,5
1323,1976-05-19,Quarta-feira,MC 2º,92,15
1346,1976-08-11,Quarta-feira,MC 4º,92,23
1360,1976-09-29,Quarta-feira,MC 4º,92,14
1378,1976-12-08,Quarta-feira,MC 4º,92,18
1398,1977-03-02,Quarta-feira,MC 3º,92,20
1403,1977-03-19,Sábado,MC 5º,92,5
1432,1977-07-06,Quarta-feira,MC 4º,92,29
1436,1977-07-20,Quarta-feira,MC 5º,92,4
1475,1977-12-21,Quarta-feira,MC 5º,92,39
1499,1978-03-29,Quarta-feira,MC 3º,92,24
1536,1978-08-16,Quarta-feira,MC 4º,92,37
1547,1978-09-23,Sábado,MC 1º,92,11
1571,1978-12-30,Sábado,MC 5º,92,24
1599,1979-04-18,Quarta-feira,MC 5º,92,28
1650,1979-11-07,Quarta-feira,MC 1º,92,51
1663,1979-12-29,Sábado,MC 4º,92,13
1665,1980-01-09,Quarta-feira,MC 5º,92,2
1674,1980-02-16,Sábado,MC 2º,92,9
1728,1980-09-10,Quarta-feira,MC 1º,92,54
1740,1980-10-25,Sábado,MC 5º,92,12
1790,1981-05-20,Quarta-feira,MC 1º,92,50
1796,1981-06-10,Quarta-feira,MC 1º,92,6
1816,1981-08-22,Sábado,MC 2º,92,20
1823,1981-09-16,Quarta-feira,MC 2º,92,7
1824,1981-09-19,Sábado,MC 4º,92,1
1825,1981-09-23,Quarta-feira,MC 5º,92,1
1830,1981-10-14,Quarta-feira,MC 5º,92,5
1833,1981-10-24,Sábado,MC 3º,92,3
1836,1981-11-04,Quarta-feira,MC 5º,92,3
1868,1982-03-10,Quarta-feira,MC 2º,92,32
