Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
2,1962-09-22,Sábado,MC 3º,9,2
6,1962-10-10,Quarta-feira,MC 1º,9,4
12,1962-10-31,Quarta-feira,MC 5º,9,6
34,1963-01-23,Quarta-feira,MC 4º,9,22
36,1963-01-30,Quarta-feira,MC 2º,9,2
71,1963-06-12,Quarta-feira,MC 5º,9,35
116,1963-11-23,Sábado,MC 1º,9,45
122,1963-12-14,Sábado,MC 3º,9,6
128,1964-01-11,Sábado,MC 2º,9,6
201,1964-10-03,Sábado,MC 4º,9,73
207,1964-10-24,Sábado,MC 2º,9,6
245,1965-03-17,Quarta-feira,MC 2º,9,38
306,1965-10-23,Sábado,MC 2º,9,61
314,1965-11-20,Sábado,MC 1º,9,8
400,1966-10-01,Sábado,MC 2º,9,86
405,1966-10-19,Quarta-feira,MC 2º,9,5
431,1967-01-21,Sábado,MC 2º,9,26
500,1967-09-23,Sábado,MC 2º,9,69
501,1967-09-27,Quarta-feira,MC 4º,9,1
539,1968-02-10,Sábado,MC 3º,9,38
541,1968-02-17,Sábado,MC 2º,9,2
546,1968-03-09,Sábado,MC 5º,9,5
552,1968-03-30,Sábado,MC 3º,9,6
600,1968-09-21,Sábado,MC 1º,9,48
620,1968-12-04,Quarta-feira,MC 4º,9,20
641,1969-02-26,Quarta-feira,MC 5º,9,21
655,1969-04-19,Sábado,MC 5º,9,14
661,1969-05-10,Sábado,MC 4º,9,6
696,1969-09-10,Quarta-feira,MC 5º,9,35
736,1970-02-07,Sábado,MC 1º,9,40
749,1970-04-01,Quarta-feira,MC 2º,9,13
760,1970-05-09,Sábado,MC 4º,9,11
764,1970-05-23,Sábado,MC 1º,9,4
774,1970-06-27,Sábado,MC 4º,9,10
836,1971-02-10,Quarta-feira,MC 1º,9,62
894,1971-09-22,Quarta-feira,MC 5º,9,58
915,1971-12-11,Sábado,MC 4º,9,21
933,1972-03-11,Sábado,MC 2º,9,18
939,1972-04-05,Quarta-feira,MC 3º,9,6
946,1972-05-06,Sábado,MC 2º,9,7
968,1972-08-09,Quarta-feira,MC 2º,9,22
1015,1973-03-10,Sábado,MC 5º,9,47
1017,1973-03-17,Sábado,MC 1º,9,2
1025,1973-04-18,Quarta-feira,MC 1º,9,8
1025,1973-04-18,Quarta-feira,MC 4º,9,0
1064,1973-09-08,Sábado,MC 5º,9,39
1067,1973-09-19,Quarta-feira,MC 3º,9,3
1105,1974-02-06,Quarta-feira,MC 5º,9,38
1116,1974-03-20,Quarta-feira,MC 5º,9,11
1121,1974-04-06,Sábado,MC 5º,9,5
1158,1974-08-21,Quarta-feira,MC 2º,9,37
1158,1974-08-21,Quarta-feira,MC 4º,9,0
1199,1975-01-25,Sábado,MC 1º,9,41
1229,1975-05-21,Quarta-feira,MC 1º,9,30
1243,1975-07-09,Quarta-feira,MC 2º,9,14
1250,1975-08-06,Quarta-feira,MC 4º,9,7
1256,1975-08-27,Quarta-feira,MC 5º,9,6
1257,1975-08-30,Sábado,MC 5º,9,1
1265,1975-09-27,Sábado,MC 5º,9,8
1275,1975-11-01,Sábado,MC 5º,9,10
1294,1976-01-21,Quarta-feira,MC 1º,9,19
1318,1976-04-28,Quarta-feira,MC 5º,9,24
1335,1976-06-30,Quarta-feira,MC 2º,9,17
1339,1976-07-14,Quarta-feira,MC 4º,9,4
1348,1976-08-18,Quarta-feira,MC 4º,9,9
1356,1976-09-15,Quarta-feira,MC 2º,9,8
1377,1976-12-04,Sábado,MC 1º,9,21
1385,1977-01-08,Sábado,MC 3º,9,8
1407,1977-04-02,Sábado,MC 5º,9,22
1438,1977-07-27,Quarta-feira,MC 3º,9,31
1447,1977-08-31,Quarta-feira,MC 5º,9,9
1473,1977-12-14,Quarta-feira,MC 2º,9,26
1503,1978-04-12,Quarta-feira,MC 4º,9,30
1546,1978-09-20,Quarta-feira,MC 5º,9,43
1570,1978-12-23,Sábado,MC 2º,9,24
1572,1979-01-03,Quarta-feira,MC 4º,9,2
1606,1979-05-23,Quarta-feira,MC 5º,9,34
1614,1979-06-20,Quarta-feira,MC 5º,9,8
1641,1979-09-29,Sábado,MC 4º,9,27
1686,1980-04-02,Quarta-feira,MC 2º,9,45
1731,1980-09-20,Sábado,MC 4º,9,45
1733,1980-09-27,Sábado,MC 5º,9,2
1783,1981-04-11,Sábado,MC 5º,9,50
1801,1981-06-27,Sábado,MC 2º,9,18
1826,1981-09-26,Sábado,MC 2º,9,25
1827,1981-09-30,Quarta-feira,MC 5º,9,1
1863,1982-02-17,Quarta-feira,MC 2º,9,36
1868,1982-03-10,Quarta-feira,MC 3º,9,5
1873,1982-03-31,Quarta-feira,MC 1º,9,5
1949,1983-01-29,Sábado,MC 3º,9,76
1951,1983-02-05,Sábado,MC 1º,9,2
1968,1983-04-13,Quarta-feira,MC 3º,9,17
1973,1983-05-04,Quarta-feira,MC 2º,9,5
1975,1983-05-11,Quarta-feira,MC 5º,9,2
1980,1983-05-28,Sábado,MC 5º,9,5
2023,1983-11-19,Sábado,MC 2º,9,43
2049,1984-02-22,Quarta-feira,MC 1º,9,26
2077,1984-06-16,Sábado,MC 5º,9,28
