Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
19,1962-11-28,Quarta-feira,MC 1º,4,19
21,1962-12-05,Quarta-feira,MC 4º,4,2
50,1963-03-23,Sábado,MC 2º,4,29
58,1963-04-24,Quarta-feira,MC 5º,4,8
60,1963-05-04,Sábado,MC 1º,4,2
74,1963-06-22,Sábado,MC 2º,4,14
100,1963-09-25,Quarta-feira,MC 2º,4,26
138,1964-02-19,Quarta-feira,MC 4º,4,38
145,1964-03-14,Sábado,MC 5º,4,7
159,1964-05-06,Quarta-feira,MC 5º,4,14
160,1964-05-09,Sábado,MC 5º,4,1
173,1964-06-24,Quarta-feira,MC 1º,4,13
183,1964-07-29,Quarta-feira,MC 3º,4,10
185,1964-08-05,Quarta-feira,MC 3º,4,2
192,1964-09-02,Quarta-feira,MC 1º,4,7
226,1964-12-30,Quarta-feira,MC 2º,4,34
229,1965-01-13,Quarta-feira,MC 5º,4,3
244,1965-03-13,Sábado,MC 1º,4,15
254,1965-04-17,Sábado,MC 2º,4,10
267,1965-06-09,Quarta-feira,MC 2º,4,13
269,1965-06-16,Quarta-feira,MC 1º,4,2
282,1965-07-31,Sábado,MC 4º,4,13
308,1965-10-30,Sábado,MC 5º,4,26
332,1966-01-29,Sábado,MC 4º,4,24
349,1966-04-02,Sábado,MC 5º,4,17
350,1966-04-06,Quarta-feira,MC 3º,4,1
371,1966-06-18,Sábado,MC 3º,4,21
376,1966-07-06,Quarta-feira,MC 2º,4,5
399,1966-09-28,Quarta-feira,MC 1º,4,23
403,1966-10-12,Quarta-feira,MC 1º,4,4
405,1966-10-19,Quarta-feira,MC 5º,4,2
410,1966-11-09,Quarta-feira,MC 1º,4,5
433,1967-01-28,Sábado,MC 4º,4,23
437,1967-02-15,Quarta-feira,MC 4º,4,4
507,1967-10-18,Quarta-feira,MC 3º,4,70
510,1967-10-28,Sábado,MC 2º,4,3
528,1968-01-03,Quarta-feira,MC 5º,4,18
529,1968-01-06,Sábado,MC 4º,4,1
568,1968-05-29,Quarta-feira,MC 1º,4,39
612,1968-11-06,Quarta-feira,MC 1º,4,44
615,1968-11-16,Sábado,MC 4º,4,3
618,1968-11-27,Quarta-feira,MC 2º,4,3
664,1969-05-21,Quarta-feira,MC 1º,4,46
696,1969-09-10,Quarta-feira,MC 3º,4,32
705,1969-10-11,Sábado,MC 3º,4,9
731,1970-01-21,Quarta-feira,MC 5º,4,26
737,1970-02-14,Sábado,MC 2º,4,6
744,1970-03-11,Quarta-feira,MC 4º,4,7
768,1970-06-06,Sábado,MC 4º,4,24
799,1970-09-23,Quarta-feira,MC 3º,4,31
818,1970-11-28,Sábado,MC 4º,4,19
872,1971-06-30,Quarta-feira,MC 3º,4,54
880,1971-07-28,Quarta-feira,MC 2º,4,8
936,1972-03-22,Quarta-feira,MC 1º,4,56
950,1972-05-20,Sábado,MC 1º,4,14
961,1972-07-08,Sábado,MC 4º,4,11
962,1972-07-12,Quarta-feira,MC 1º,4,1
973,1972-09-02,Sábado,MC 2º,4,11
978,1972-09-27,Quarta-feira,MC 5º,4,5
996,1972-12-09,Sábado,MC 1º,4,18
1049,1973-07-14,Sábado,MC 4º,4,53
1054,1973-08-01,Quarta-feira,MC 5º,4,5
1067,1973-09-19,Quarta-feira,MC 2º,4,13
1068,1973-09-22,Sábado,MC 4º,4,1
1075,1973-10-17,Quarta-feira,MC 3º,4,7
1142,1974-06-22,Sábado,MC 2º,4,67
1169,1974-10-02,Quarta-feira,MC 1º,4,27
1185,1974-11-30,Sábado,MC 3º,4,16
1187,1974-12-07,Sábado,MC 4º,4,2
1202,1975-02-05,Quarta-feira,MC 2º,4,15
1217,1975-04-05,Sábado,MC 4º,4,15
1218,1975-04-09,Quarta-feira,MC 3º,4,1
1219,1975-04-12,Sábado,MC 4º,4,1
1229,1975-05-21,Quarta-feira,MC 4º,4,10
1237,1975-06-18,Quarta-feira,MC 2º,4,8
1258,1975-09-03,Quarta-feira,MC 1º,4,21
1266,1975-10-01,Quarta-feira,MC 3º,4,8
1284,1975-12-10,Quarta-feira,MC 1º,4,18
1286,1975-12-17,Quarta-feira,MC 1º,4,2
1297,1976-02-04,Quarta-feira,MC 3º,4,11
1342,1976-07-24,Sábado,MC 1º,4,45
1344,1976-08-04,Quarta-feira,MC 5º,4,2
1349,1976-08-21,Sábado,MC 4º,4,5
1358,1976-09-22,Quarta-feira,MC 5º,4,9
1382,1976-12-22,Quarta-feira,MC 2º,4,24
1486,1978-02-04,Sábado,MC 3º,4,104
1554,1978-10-21,Sábado,MC 1º,4,68
1559,1978-11-08,Quarta-feira,MC 5º,4,5
1561,1978-11-22,Quarta-feira,MC 4º,4,2
1603,1979-05-12,Sábado,MC 4º,4,42
1686,1980-04-02,Quarta-feira,MC 1º,4,83
1693,1980-04-30,Quarta-feira,MC 3º,4,7
1712,1980-07-12,Sábado,MC 5º,4,19
1723,1980-08-23,Sábado,MC 1º,4,11
1731,1980-09-20,Sábado,MC 1º,4,8
1737,1980-10-15,Quarta-feira,MC 3º,4,6
1740,1980-10-25,Sábado,MC 3º,4,3
1748,1980-11-26,Quarta-feira,MC 1º,4,8
1783,1981-04-11,Sábado,MC 1º,4,35
1784,1981-04-15,Quarta-feira,MC 2º,4,1
1790,1981-05-20,Quarta-feira,MC 4º,4,6
1795,1981-06-06,Sábado,MC 1º,4,5
1796,1981-06-10,Quarta-feira,MC 5º,4,1
1798,1981-06-17,Quarta-feira,MC 4º,4,2
1826,1981-09-26,Sábado,MC 4º,4,28
1835,1981-10-31,Sábado,MC 4º,4,9
1881,1982-05-08,Sábado,MC 5º,4,46
1893,1982-06-23,Quarta-feira,MC 1º,4,12
1907,1982-08-14,Sábado,MC 1º,4,14
1939,1982-12-18,Sábado,MC 3º,4,32
1971,1983-04-23,Sábado,MC 3º,4,32
1987,1983-06-22,Quarta-feira,MC 2º,4,16
2035,1984-01-04,Quarta-feira,MC 5º,4,48
2058,1984-03-31,Sábado,MC 4º,4,23
2081,1984-07-04,Quarta-feira,MC 5º,4,23
2088,1984-07-28,Sábado,MC 2º,4,7
2143,1985-03-13,Quarta-feira,MC 5º,4,55
2186,1985-08-21,Quarta-feira,MC 3º,4,43
2193,1985-09-18,Quarta-feira,MC 5º,4,7
2212,1985-11-30,Sábado,MC 5º,4,19
2251,1986-05-07,Quarta-feira,MC 1º,4,39
2272,1986-07-23,Quarta-feira,MC 4º,4,21
2353,1987-06-10,Quarta-feira,MC 4º,4,81
2374,1987-08-22,Sábado,MC 5º,4,21
2398,1987-11-28,Sábado,MC 2º,4,24
2506,1989-02-01,Quarta-feira,MC 5º,4,108
2554,1989-08-12,Sábado,MC 4º,4,48
2562,1989-09-13,Quarta-feira,MC 5º,4,8
2563,1989-09-16,Sábado,MC 2º,4,1
2577,1989-11-19,Domingo,MC 3º,4,14
2594,1990-02-10,Sábado,MC 3º,4,17
2613,1990-05-09,Quarta-feira,MC 5º,4,19
2627,1990-07-07,Sábado,MC 2º,4,14
2632,1990-07-25,Quarta-feira,MC 5º,4,5
2705,1991-05-15,Quarta-feira,MC 1º,4,73
2727,1991-08-10,Sábado,MC 4º,4,22
2743,1991-10-09,Quarta-feira,MC 5º,4,16
2744,1991-10-16,Quarta-feira,MC 5º,4,1
2762,1992-01-04,Sábado,MC 2º,4,18
2770,1992-02-01,Sábado,MC 5º,4,8
2779,1992-03-07,Sábado,MC 3º,4,9
2871,1993-10-20,Quarta-feira,MC 1º,4,92
2924,1994-05-25,Quarta-feira,MC 5º,4,53
2937,1994-07-20,Quarta-feira,MC 2º,4,13
2945,1994-08-17,Quarta-feira,MC 1º,4,8
2946,1994-08-20,Sábado,MC 2º,4,1
2957,1994-10-01,Sábado,MC 3º,4,11
2958,1994-10-08,Sábado,MC 5º,4,1
2967,1994-11-19,Sábado,MC 1º,4,9
2975,1994-12-17,Sábado,MC 1º,4,8
2981,1995-01-18,Quarta-feira,MC 4º,4,6
2989,1995-02-15,Quarta-feira,MC 1º,4,8
3017,1995-06-24,Sábado,MC 3º,4,28
3054,1995-11-25,Sábado,MC 2º,4,37
3083,1996-03-23,Sábado,MC 3º,4,29
3098,1996-05-29,Quarta-feira,MC 5º,4,15
3101,1996-06-12,Quarta-feira,MC 2º,4,3
3131,1996-10-16,Quarta-feira,MC 1º,4,30
3131,1996-10-16,Quarta-feira,MC 2º,4,0
3139,1996-11-23,Sábado,MC 5º,4,8
3142,1996-12-04,Quarta-feira,MC 5º,4,3
3220,1997-10-18,Sábado,MC 3º,4,78
3221,1997-10-22,Quarta-feira,MC 1º,4,1
3239,1998-01-07,Quarta-feira,MC 1º,4,18
3255,1998-03-07,Sábado,MC 4º,4,16
3287,1998-07-18,Sábado,MC 2º,4,32
3321,1998-11-28,Sábado,MC 3º,4,34
3335,1999-01-27,Quarta-feira,MC 3º,4,14
3341,1999-02-20,Sábado,MC 4º,4,6
3357,1999-04-24,Sábado,MC 5º,4,16
3364,1999-05-19,Quarta-feira,MC 2º,4,7
3383,1999-07-31,Sábado,MC 1º,4,19
3393,1999-09-04,Sábado,MC 4º,4,10
3399,1999-09-29,Quarta-feira,MC 4º,4,6
3416,1999-12-08,Quarta-feira,MC 4º,4,17
3430,2000-02-05,Sábado,MC 1º,4,14
3447,2000-04-08,Sábado,MC 3º,4,17
3469,2000-07-08,Sábado,MC 2º,4,22
3470,2000-07-12,Quarta-feira,MC 2º,4,1
3480,2000-08-16,Quarta-feira,MC 1º,4,10
3491,2000-09-27,Quarta-feira,MC 5º,4,11
3494,2000-10-07,Sábado,MC 3º,4,3
3514,2001-01-06,Sábado,MC 2º,4,20
3566,2001-07-28,Sábado,MC 3º,4,52
3576,2001-09-01,Sábado,MC 3º,4,10
3586,2001-10-13,Sábado,MC 1º,4,10
