Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
5,1962-10-06,Sábado,MC 2º,32,5
11,1962-10-27,Sábado,MC 1º,32,6
90,1963-08-17,Sábado,MC 1º,32,79
90,1963-08-17,Sábado,MC 2º,32,0
146,1964-03-18,Quarta-feira,MC 3º,32,56
147,1964-03-21,Sábado,MC 1º,32,1
177,1964-07-08,Quarta-feira,MC 3º,32,30
185,1964-08-05,Quarta-feira,MC 1º,32,8
192,1964-09-02,Quarta-feira,MC 2º,32,7
205,1964-10-17,Sábado,MC 4º,32,13
260,1965-05-15,Sábado,MC 3º,32,55
321,1965-12-15,Quarta-feira,MC 2º,32,61
353,1966-04-16,Sábado,MC 5º,32,32
357,1966-04-30,Sábado,MC 2º,32,4
365,1966-05-28,Sábado,MC 5º,32,8
376,1966-07-06,Quarta-feira,MC 4º,32,11
388,1966-08-17,Quarta-feira,MC 5º,32,12
415,1966-11-26,Sábado,MC 3º,32,27
422,1966-12-21,Quarta-feira,MC 5º,32,7
425,1966-12-31,Sábado,MC 1º,32,3
446,1967-03-18,Sábado,MC 4º,32,21
450,1967-04-01,Sábado,MC 4º,32,4
457,1967-04-26,Quarta-feira,MC 5º,32,7
489,1967-08-16,Quarta-feira,MC 1º,32,32
490,1967-08-19,Sábado,MC 2º,32,1
505,1967-10-11,Quarta-feira,MC 5º,32,15
521,1967-12-09,Sábado,MC 5º,32,16
524,1967-12-20,Quarta-feira,MC 3º,32,3
539,1968-02-10,Sábado,MC 2º,32,15
561,1968-05-04,Sábado,MC 2º,32,22
587,1968-08-03,Sábado,MC 4º,32,26
662,1969-05-14,Quarta-feira,MC 2º,32,75
669,1969-06-07,Sábado,MC 2º,32,7
672,1969-06-18,Quarta-feira,MC 4º,32,3
685,1969-08-02,Sábado,MC 3º,32,13
697,1969-09-13,Sábado,MC 1º,32,12
700,1969-09-24,Quarta-feira,MC 3º,32,3
725,1969-12-24,Quarta-feira,MC 2º,32,25
785,1970-08-05,Quarta-feira,MC 4º,32,60
830,1971-01-16,Sábado,MC 2º,32,45
875,1971-07-10,Sábado,MC 1º,32,45
935,1972-03-18,Sábado,MC 1º,32,60
978,1972-09-27,Quarta-feira,MC 1º,32,43
979,1972-09-30,Sábado,MC 2º,32,1
984,1972-10-18,Quarta-feira,MC 5º,32,5
999,1972-12-23,Sábado,MC 4º,32,15
1013,1973-02-24,Sábado,MC 3º,32,14
