Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
48,1963-03-16,Sábado,MC 1º,49,48
55,1963-04-10,Quarta-feira,MC 4º,49,7
84,1963-07-27,Sábado,MC 3º,49,29
86,1963-08-03,Sábado,MC 3º,49,2
87,1963-08-07,Quarta-feira,MC 3º,49,1
96,1963-09-11,Quarta-feira,MC 2º,49,9
97,1963-09-14,Sábado,MC 1º,49,1
107,1963-10-19,Sábado,MC 5º,49,10
109,1963-10-26,Sábado,MC 2º,49,2
138,1964-02-19,Quarta-feira,MC 1º,49,29
153,1964-04-15,Quarta-feira,MC 2º,49,15
180,1964-07-18,Sábado,MC 4º,49,27
194,1964-09-09,Quarta-feira,MC 5º,49,14
218,1964-12-02,Quarta-feira,MC 5º,49,24
232,1965-01-27,Quarta-feira,MC 1º,49,14
239,1965-02-20,Sábado,MC 5º,49,7
271,1965-06-23,Quarta-feira,MC 4º,49,32
280,1965-07-24,Sábado,MC 1º,49,9
288,1965-08-21,Sábado,MC 1º,49,8
358,1966-05-04,Quarta-feira,MC 4º,49,70
408,1966-10-29,Sábado,MC 1º,49,50
439,1967-02-22,Quarta-feira,MC 5º,49,31
462,1967-05-13,Sábado,MC 2º,49,23
481,1967-07-19,Quarta-feira,MC 1º,49,19
486,1967-08-05,Sábado,MC 5º,49,5
542,1968-02-21,Quarta-feira,MC 3º,49,56
569,1968-06-01,Sábado,MC 5º,49,27
594,1968-08-28,Quarta-feira,MC 3º,49,25
596,1968-09-04,Quarta-feira,MC 5º,49,2
660,1969-05-07,Quarta-feira,MC 2º,49,64
684,1969-07-30,Quarta-feira,MC 4º,49,24
706,1969-10-15,Quarta-feira,MC 2º,49,22
711,1969-11-01,Sábado,MC 4º,49,5
716,1969-11-22,Sábado,MC 5º,49,5
718,1969-11-29,Sábado,MC 3º,49,2
718,1969-11-29,Sábado,MC 5º,49,0
732,1970-01-24,Sábado,MC 3º,49,14
749,1970-04-01,Quarta-feira,MC 5º,49,17
771,1970-06-17,Quarta-feira,MC 1º,49,22
793,1970-09-02,Quarta-feira,MC 1º,49,22
802,1970-10-03,Sábado,MC 3º,49,9
839,1971-02-20,Sábado,MC 4º,49,37
862,1971-05-26,Quarta-feira,MC 2º,49,23
