Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
7,1962-10-13,Sábado,MC 4º,71,7
48,1963-03-16,Sábado,MC 4º,71,41
103,1963-10-05,Sábado,MC 3º,71,55
105,1963-10-12,Sábado,MC 5º,71,2
118,1963-11-30,Sábado,MC 4º,71,13
126,1964-01-04,Sábado,MC 2º,71,8
141,1964-02-29,Sábado,MC 5º,71,15
151,1964-04-08,Quarta-feira,MC 5º,71,10
163,1964-05-20,Quarta-feira,MC 2º,71,12
190,1964-08-26,Quarta-feira,MC 1º,71,27
219,1964-12-05,Sábado,MC 4º,71,29
258,1965-05-08,Sábado,MC 5º,71,39
274,1965-07-03,Sábado,MC 5º,71,16
287,1965-08-18,Quarta-feira,MC 3º,71,13
330,1966-01-22,Sábado,MC 5º,71,43
333,1966-02-02,Quarta-feira,MC 4º,71,3
338,1966-02-19,Sábado,MC 1º,71,5
369,1966-06-11,Sábado,MC 4º,71,31
376,1966-07-06,Quarta-feira,MC 3º,71,7
386,1966-08-10,Quarta-feira,MC 5º,71,10
388,1966-08-17,Quarta-feira,MC 3º,71,2
431,1967-01-21,Sábado,MC 1º,71,43
460,1967-05-06,Sábado,MC 5º,71,29
463,1967-05-17,Quarta-feira,MC 2º,71,3
464,1967-05-20,Sábado,MC 3º,71,1
480,1967-07-15,Sábado,MC 3º,71,16
508,1967-10-21,Sábado,MC 2º,71,28
513,1967-11-08,Quarta-feira,MC 4º,71,5
522,1967-12-13,Quarta-feira,MC 5º,71,9
574,1968-06-19,Quarta-feira,MC 2º,71,52
609,1968-10-23,Quarta-feira,MC 1º,71,35
617,1968-11-23,Sábado,MC 2º,71,8
666,1969-05-28,Quarta-feira,MC 3º,71,49
697,1969-09-13,Sábado,MC 2º,71,31
750,1970-04-04,Sábado,MC 1º,71,53
770,1970-06-13,Sábado,MC 3º,71,20
816,1970-11-21,Sábado,MC 5º,71,46
820,1970-12-05,Sábado,MC 5º,71,4
846,1971-03-20,Sábado,MC 4º,71,26
869,1971-06-19,Sábado,MC 1º,71,23
877,1971-07-17,Sábado,MC 4º,71,8
883,1971-08-11,Quarta-feira,MC 3º,71,6
916,1971-12-15,Quarta-feira,MC 4º,71,33
934,1972-03-15,Quarta-feira,MC 2º,71,18
941,1972-04-12,Quarta-feira,MC 2º,71,7
990,1972-11-18,Sábado,MC 2º,71,49
990,1972-11-18,Sábado,MC 4º,71,0
1040,1973-06-13,Quarta-feira,MC 5º,71,50
1102,1974-01-26,Sábado,MC 4º,71,62
1157,1974-08-17,Sábado,MC 2º,71,55
1167,1974-09-25,Quarta-feira,MC 4º,71,10
1171,1974-10-09,Quarta-feira,MC 3º,71,4
1213,1975-03-19,Quarta-feira,MC 1º,71,42
1224,1975-04-30,Quarta-feira,MC 2º,71,11
1240,1975-06-28,Sábado,MC 4º,71,16
1250,1975-08-06,Quarta-feira,MC 5º,71,10
1281,1975-11-29,Sábado,MC 1º,71,31
1308,1976-03-17,Quarta-feira,MC 2º,71,27
1313,1976-04-03,Sábado,MC 4º,71,5
1316,1976-04-14,Quarta-feira,MC 5º,71,3
1331,1976-06-16,Quarta-feira,MC 3º,71,15
1361,1976-10-02,Sábado,MC 3º,71,30
1397,1977-02-26,Sábado,MC 4º,71,36
1398,1977-03-02,Quarta-feira,MC 1º,71,1
1403,1977-03-19,Sábado,MC 1º,71,5
1417,1977-05-14,Sábado,MC 4º,71,14
1467,1977-11-23,Quarta-feira,MC 2º,71,50
1497,1978-03-18,Sábado,MC 5º,71,30
1511,1978-05-17,Quarta-feira,MC 4º,71,14
1519,1978-06-14,Quarta-feira,MC 2º,71,8
1519,1978-06-14,Quarta-feira,MC 4º,71,0
1564,1978-12-02,Sábado,MC 2º,71,45
1578,1979-01-24,Quarta-feira,MC 1º,71,14
1586,1979-02-24,Sábado,MC 2º,71,8
1617,1979-06-30,Sábado,MC 1º,71,31
1626,1979-08-01,Quarta-feira,MC 3º,71,9
1645,1979-10-17,Quarta-feira,MC 3º,71,19
1676,1980-02-27,Quarta-feira,MC 3º,71,31
1697,1980-05-21,Quarta-feira,MC 5º,71,21
1706,1980-06-21,Sábado,MC 4º,71,9
1754,1980-12-17,Quarta-feira,MC 4º,71,48
1762,1981-01-21,Quarta-feira,MC 3º,71,8
1777,1981-03-18,Quarta-feira,MC 2º,71,15
1777,1981-03-18,Quarta-feira,MC 4º,71,0
1799,1981-06-20,Sábado,MC 4º,71,22
1813,1981-08-12,Quarta-feira,MC 5º,71,14
1879,1982-04-28,Quarta-feira,MC 5º,71,66
1888,1982-06-05,Sábado,MC 1º,71,9
1895,1982-06-30,Quarta-feira,MC 4º,71,7
1931,1982-11-20,Sábado,MC 2º,71,36
1982,1983-06-04,Sábado,MC 5º,71,51
1983,1983-06-08,Quarta-feira,MC 2º,71,1
1994,1983-07-16,Sábado,MC 2º,71,11
2032,1983-12-21,Quarta-feira,MC 2º,71,38
2079,1984-06-27,Quarta-feira,MC 4º,71,47
2082,1984-07-07,Sábado,MC 5º,71,3
2111,1984-10-31,Quarta-feira,MC 1º,71,29
2154,1985-04-24,Quarta-feira,MC 5º,71,43
2162,1985-05-25,Sábado,MC 3º,71,8
2186,1985-08-21,Quarta-feira,MC 4º,71,24
2215,1985-12-11,Quarta-feira,MC 4º,71,29
2236,1986-03-05,Quarta-feira,MC 3º,71,21
2261,1986-06-14,Sábado,MC 1º,71,25
2274,1986-07-30,Quarta-feira,MC 2º,71,13
2322,1987-02-14,Sábado,MC 4º,71,48
2331,1987-03-21,Sábado,MC 1º,71,9
2360,1987-07-04,Sábado,MC 5º,71,29
2382,1987-09-26,Sábado,MC 4º,71,22
2403,1987-12-16,Quarta-feira,MC 1º,71,21
2406,1988-01-06,Quarta-feira,MC 2º,71,3
2426,1988-03-19,Sábado,MC 3º,71,20
2428,1988-03-26,Sábado,MC 3º,71,2
2432,1988-04-13,Quarta-feira,MC 1º,71,4
2437,1988-05-04,Quarta-feira,MC 1º,71,5
2569,1989-10-07,Sábado,MC 1º,71,132
2582,1989-12-06,Quarta-feira,MC 2º,71,13
2607,1990-04-04,Quarta-feira,MC 2º,71,25
2640,1990-08-22,Quarta-feira,MC 3º,71,33
2665,1990-12-05,Quarta-feira,MC 4º,71,25
2673,1991-01-12,Sábado,MC 3º,71,8
2687,1991-03-06,Quarta-feira,MC 3º,71,14
2698,1991-04-17,Quarta-feira,MC 1º,71,11
2750,1991-11-09,Sábado,MC 5º,71,52
2760,1991-12-21,Sábado,MC 2º,71,10
2779,1992-03-07,Sábado,MC 2º,71,19
2798,1992-05-23,Sábado,MC 3º,71,19
2805,1992-07-04,Sábado,MC 1º,71,7
2815,1992-09-12,Sábado,MC 2º,71,10
2835,1993-02-06,Sábado,MC 4º,71,20
2870,1993-10-16,Sábado,MC 3º,71,35
2916,1994-04-27,Quarta-feira,MC 5º,71,46
2932,1994-07-02,Sábado,MC 3º,71,16
2937,1994-07-20,Quarta-feira,MC 5º,71,5
2944,1994-08-13,Sábado,MC 1º,71,7
2950,1994-09-03,Sábado,MC 3º,71,6
2953,1994-09-17,Sábado,MC 5º,71,3
2955,1994-09-24,Sábado,MC 5º,71,2
2962,1994-10-26,Quarta-feira,MC 4º,71,7
3002,1995-04-19,Quarta-feira,MC 3º,71,40
