Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
1,1962-09-15,Sábado,MC 2º,80,1
98,1963-09-18,Quarta-feira,MC 4º,80,97
99,1963-09-21,Sábado,MC 4º,80,1
108,1963-10-23,Quarta-feira,MC 5º,80,9
137,1964-02-15,Sábado,MC 1º,80,29
215,1964-11-21,Sábado,MC 5º,80,78
232,1965-01-27,Quarta-feira,MC 2º,80,17
296,1965-09-18,Sábado,MC 4º,80,64
310,1965-11-06,Sábado,MC 1º,80,14
318,1965-12-04,Sábado,MC 1º,80,8
346,1966-03-23,Quarta-feira,MC 2º,80,28
363,1966-05-21,Sábado,MC 1º,80,17
426,1967-01-04,Quarta-feira,MC 2º,80,63
438,1967-02-18,Sábado,MC 3º,80,12
439,1967-02-22,Quarta-feira,MC 3º,80,1
479,1967-07-12,Quarta-feira,MC 4º,80,40
515,1967-11-18,Sábado,MC 4º,80,36
517,1967-11-25,Sábado,MC 1º,80,2
520,1967-12-06,Quarta-feira,MC 1º,80,3
529,1968-01-06,Sábado,MC 1º,80,9
537,1968-02-03,Sábado,MC 2º,80,8
563,1968-05-11,Sábado,MC 3º,80,26
568,1968-05-29,Quarta-feira,MC 4º,80,5
573,1968-06-15,Sábado,MC 5º,80,5
576,1968-06-26,Quarta-feira,MC 2º,80,3
596,1968-09-04,Quarta-feira,MC 4º,80,20
599,1968-09-18,Quarta-feira,MC 3º,80,3
621,1968-12-07,Sábado,MC 1º,80,22
622,1968-12-11,Quarta-feira,MC 3º,80,1
638,1969-02-12,Quarta-feira,MC 5º,80,16
662,1969-05-14,Quarta-feira,MC 4º,80,24
680,1969-07-16,Quarta-feira,MC 4º,80,18
704,1969-10-08,Quarta-feira,MC 3º,80,24
705,1969-10-11,Sábado,MC 2º,80,1
707,1969-10-18,Sábado,MC 3º,80,2
794,1970-09-05,Sábado,MC 5º,80,87
821,1970-12-09,Quarta-feira,MC 3º,80,27
832,1971-01-27,Quarta-feira,MC 3º,80,11
834,1971-02-03,Quarta-feira,MC 2º,80,2
844,1971-03-13,Sábado,MC 5º,80,10
917,1971-12-22,Quarta-feira,MC 2º,80,73
963,1972-07-15,Sábado,MC 5º,80,46
970,1972-08-19,Sábado,MC 5º,80,7
989,1972-11-11,Sábado,MC 5º,80,19
995,1972-12-06,Quarta-feira,MC 4º,80,6
1011,1973-02-17,Sábado,MC 4º,80,16
1020,1973-03-31,Sábado,MC 2º,80,9
1031,1973-05-12,Sábado,MC 3º,80,11
1035,1973-05-26,Sábado,MC 3º,80,4
1043,1973-06-23,Sábado,MC 4º,80,8
1048,1973-07-11,Quarta-feira,MC 4º,80,5
1060,1973-08-25,Sábado,MC 3º,80,12
1064,1973-09-08,Sábado,MC 3º,80,4
1079,1973-10-31,Quarta-feira,MC 3º,80,15
1086,1973-11-24,Sábado,MC 3º,80,7
1122,1974-04-10,Quarta-feira,MC 2º,80,36
1139,1974-06-12,Quarta-feira,MC 2º,80,17
1155,1974-08-10,Sábado,MC 3º,80,16
1171,1974-10-09,Quarta-feira,MC 4º,80,16
1174,1974-10-19,Sábado,MC 2º,80,3
1181,1974-11-16,Sábado,MC 5º,80,7
1216,1975-04-02,Quarta-feira,MC 3º,80,35
1220,1975-04-16,Quarta-feira,MC 4º,80,4
1226,1975-05-10,Sábado,MC 5º,80,6
1236,1975-06-14,Sábado,MC 3º,80,10
1264,1975-09-24,Quarta-feira,MC 3º,80,28
1305,1976-03-06,Sábado,MC 1º,80,41
1305,1976-03-06,Sábado,MC 2º,80,0
1312,1976-03-31,Quarta-feira,MC 3º,80,7
1321,1976-05-12,Quarta-feira,MC 5º,80,9
1322,1976-05-15,Sábado,MC 1º,80,1
1379,1976-12-11,Sábado,MC 5º,80,57
1396,1977-02-19,Sábado,MC 3º,80,17
1406,1977-03-30,Quarta-feira,MC 2º,80,10
1417,1977-05-14,Sábado,MC 2º,80,11
1439,1977-07-30,Sábado,MC 1º,80,22
1439,1977-07-30,Sábado,MC 5º,80,0
1460,1977-10-22,Sábado,MC 4º,80,21
1510,1978-05-13,Sábado,MC 2º,80,50
1550,1978-10-04,Quarta-feira,MC 4º,80,40
1555,1978-10-25,Quarta-feira,MC 1º,80,5
1614,1979-06-20,Quarta-feira,MC 4º,80,59
1646,1979-10-20,Sábado,MC 1º,80,32
1668,1980-01-27,Domingo,MC 1º,80,22
1694,1980-05-07,Quarta-feira,MC 4º,80,26
1716,1980-07-26,Sábado,MC 1º,80,22
1742,1980-11-01,Sábado,MC 2º,80,26
1761,1981-01-17,Sábado,MC 4º,80,19
1771,1981-02-21,Sábado,MC 5º,80,10
1776,1981-03-14,Sábado,MC 5º,80,5
1818,1981-08-29,Sábado,MC 5º,80,42
1848,1981-12-19,Sábado,MC 1º,80,30
1877,1982-04-17,Sábado,MC 5º,80,29
1910,1982-08-25,Quarta-feira,MC 5º,80,33
1928,1982-11-10,Quarta-feira,MC 1º,80,18
1937,1982-12-11,Sábado,MC 1º,80,9
1944,1983-01-12,Quarta-feira,MC 4º,80,7
1964,1983-03-30,Quarta-feira,MC 2º,80,20
2016,1983-10-08,Sábado,MC 4º,80,52
2046,1984-02-11,Sábado,MC 2º,80,30
2086,1984-07-21,Sábado,MC 5º,80,40
2097,1984-09-01,Sábado,MC 4º,80,11
2108,1984-10-20,Sábado,MC 5º,80,11
2109,1984-10-24,Quarta-feira,MC 4º,80,1
2117,1984-12-01,Sábado,MC 1º,80,8
2127,1985-01-12,Sábado,MC 5º,80,10
2161,1985-05-22,Quarta-feira,MC 2º,80,34
2183,1985-08-10,Sábado,MC 4º,80,22
2192,1985-09-14,Sábado,MC 5º,80,9
2194,1985-09-21,Sábado,MC 3º,80,2
2217,1985-12-18,Quarta-feira,MC 1º,80,23
2287,1986-09-20,Sábado,MC 4º,80,70
2307,1986-12-13,Sábado,MC 4º,80,20
2308,1986-12-17,Quarta-feira,MC 4º,80,1
2323,1987-02-18,Quarta-feira,MC 3º,80,15
2333,1987-03-28,Sábado,MC 1º,80,10
2341,1987-04-29,Quarta-feira,MC 2º,80,8
2373,1987-08-19,Quarta-feira,MC 4º,80,32
2376,1987-08-29,Sábado,MC 4º,80,3
2391,1987-10-31,Sábado,MC 4º,80,15
2410,1988-01-20,Quarta-feira,MC 2º,80,19
2417,1988-02-13,Sábado,MC 4º,80,7
2420,1988-02-27,Sábado,MC 1º,80,3
2440,1988-05-18,Quarta-feira,MC 3º,80,20
2455,1988-07-13,Quarta-feira,MC 3º,80,15
2475,1988-09-24,Sábado,MC 3º,80,20
2495,1988-12-14,Quarta-feira,MC 2º,80,20
2505,1989-01-28,Sábado,MC 2º,80,10
2513,1989-03-01,Quarta-feira,MC 1º,80,8
2540,1989-06-17,Sábado,MC 4º,80,27
2615,1990-05-16,Quarta-feira,MC 5º,80,75
2616,1990-05-19,Sábado,MC 3º,80,1
2616,1990-05-19,Sábado,MC 5º,80,0
2635,1990-08-04,Sábado,MC 3º,80,19
2649,1990-09-26,Quarta-feira,MC 4º,80,14
2690,1991-03-16,Sábado,MC 5º,80,41
2704,1991-05-11,Sábado,MC 3º,80,14
2715,1991-06-26,Quarta-feira,MC 3º,80,11
2727,1991-08-10,Sábado,MC 3º,80,12
2752,1991-11-20,Quarta-feira,MC 4º,80,25
2796,1992-05-16,Sábado,MC 5º,80,44
2804,1992-06-27,Sábado,MC 2º,80,8
2808,1992-07-25,Sábado,MC 1º,80,4
2837,1993-02-20,Sábado,MC 5º,80,29
2841,1993-03-20,Sábado,MC 1º,80,4
2907,1994-03-19,Sábado,MC 2º,80,66
2918,1994-05-04,Quarta-feira,MC 3º,80,11
2921,1994-05-14,Sábado,MC 3º,80,3
2936,1994-07-16,Sábado,MC 1º,80,15
2943,1994-08-10,Quarta-feira,MC 1º,80,7
2960,1994-10-19,Quarta-feira,MC 2º,80,17
2964,1994-11-05,Sábado,MC 5º,80,4
2976,1994-12-24,Sábado,MC 1º,80,12
3015,1995-06-10,Sábado,MC 2º,80,39
3044,1995-10-07,Sábado,MC 3º,80,29
3087,1996-04-17,Quarta-feira,MC 4º,80,43
3093,1996-05-11,Sábado,MC 5º,80,6
3113,1996-07-31,Quarta-feira,MC 5º,80,20
3114,1996-08-03,Sábado,MC 3º,80,1
3125,1996-09-18,Quarta-feira,MC 3º,80,11
3140,1996-11-27,Quarta-feira,MC 4º,80,15
3166,1997-03-19,Quarta-feira,MC 3º,80,26
3174,1997-04-19,Sábado,MC 1º,80,8
3232,1997-12-03,Quarta-feira,MC 5º,80,58
3255,1998-03-07,Sábado,MC 1º,80,23
