Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
52,1963-03-30,Sábado,MC 3º,67,52
68,1963-06-01,Sábado,MC 2º,67,16
81,1963-07-17,Quarta-feira,MC 5º,67,13
106,1963-10-16,Quarta-feira,MC 2º,67,25
108,1963-10-23,Quarta-feira,MC 1º,67,2
108,1963-10-23,Quarta-feira,MC 4º,67,0
113,1963-11-13,Quarta-feira,MC 4º,67,5
146,1964-03-18,Quarta-feira,MC 1º,67,33
152,1964-04-11,Sábado,MC 2º,67,6
158,1964-05-02,Sábado,MC 2º,67,6
172,1964-06-20,Sábado,MC 2º,67,14
194,1964-09-09,Quarta-feira,MC 3º,67,22
202,1964-10-07,Quarta-feira,MC 4º,67,8
220,1964-12-09,Quarta-feira,MC 3º,67,18
262,1965-05-22,Sábado,MC 5º,67,42
282,1965-07-31,Sábado,MC 3º,67,20
290,1965-08-28,Sábado,MC 1º,67,8
298,1965-09-25,Sábado,MC 4º,67,8
305,1965-10-20,Quarta-feira,MC 5º,67,7
329,1966-01-19,Quarta-feira,MC 4º,67,24
344,1966-03-16,Quarta-feira,MC 3º,67,15
375,1966-07-02,Sábado,MC 4º,67,31
378,1966-07-13,Quarta-feira,MC 1º,67,3
389,1966-08-20,Sábado,MC 1º,67,11
392,1966-08-31,Quarta-feira,MC 2º,67,3
428,1967-01-11,Quarta-feira,MC 4º,67,36
437,1967-02-15,Quarta-feira,MC 2º,67,9
471,1967-06-14,Quarta-feira,MC 5º,67,34
472,1967-06-17,Sábado,MC 1º,67,1
490,1967-08-19,Sábado,MC 5º,67,18
493,1967-08-30,Quarta-feira,MC 3º,67,3
499,1967-09-20,Quarta-feira,MC 1º,67,6
518,1967-11-29,Quarta-feira,MC 1º,67,19
554,1968-04-06,Sábado,MC 1º,67,36
567,1968-05-25,Sábado,MC 1º,67,13
572,1968-06-12,Quarta-feira,MC 4º,67,5
608,1968-10-19,Sábado,MC 5º,67,36
647,1969-03-19,Quarta-feira,MC 1º,67,39
650,1969-03-29,Sábado,MC 4º,67,3
657,1969-04-26,Sábado,MC 1º,67,7
671,1969-06-14,Sábado,MC 1º,67,14
683,1969-07-26,Sábado,MC 5º,67,12
702,1969-10-01,Quarta-feira,MC 5º,67,19
706,1969-10-15,Quarta-feira,MC 4º,67,4
729,1970-01-14,Quarta-feira,MC 4º,67,23
740,1970-02-25,Quarta-feira,MC 2º,67,11
777,1970-07-08,Quarta-feira,MC 2º,67,37
779,1970-07-15,Quarta-feira,MC 2º,67,2
820,1970-12-05,Sábado,MC 4º,67,41
855,1971-04-28,Quarta-feira,MC 4º,67,35
866,1971-06-09,Quarta-feira,MC 4º,67,11
870,1971-06-23,Quarta-feira,MC 3º,67,4
885,1971-08-18,Quarta-feira,MC 4º,67,15
900,1971-10-13,Quarta-feira,MC 3º,67,15
910,1971-11-24,Quarta-feira,MC 4º,67,10
921,1972-01-15,Sábado,MC 2º,67,11
941,1972-04-12,Quarta-feira,MC 4º,67,20
974,1972-09-09,Sábado,MC 3º,67,33
997,1972-12-13,Quarta-feira,MC 1º,67,23
1000,1972-12-30,Sábado,MC 5º,67,3
1009,1973-02-07,Quarta-feira,MC 2º,67,9
1019,1973-03-24,Sábado,MC 2º,67,10
1042,1973-06-20,Quarta-feira,MC 1º,67,23
1045,1973-06-30,Sábado,MC 4º,67,3
1050,1973-07-18,Quarta-feira,MC 4º,67,5
1122,1974-04-10,Quarta-feira,MC 3º,67,72
1131,1974-05-15,Quarta-feira,MC 5º,67,9
1134,1974-05-25,Sábado,MC 5º,67,3
1189,1974-12-14,Sábado,MC 4º,67,55
1231,1975-05-28,Quarta-feira,MC 1º,67,42
1259,1975-09-06,Sábado,MC 2º,67,28
1259,1975-09-06,Sábado,MC 5º,67,0
1282,1975-12-03,Quarta-feira,MC 4º,67,23
1303,1976-02-25,Quarta-feira,MC 3º,67,21
1303,1976-02-25,Quarta-feira,MC 5º,67,0
1310,1976-03-24,Quarta-feira,MC 3º,67,7
1329,1976-06-09,Quarta-feira,MC 5º,67,19
1341,1976-07-21,Quarta-feira,MC 1º,67,12
1344,1976-08-04,Quarta-feira,MC 3º,67,3
1376,1976-12-01,Quarta-feira,MC 1º,67,32
1380,1976-12-15,Quarta-feira,MC 2º,67,4
1394,1977-02-12,Sábado,MC 3º,67,14
1399,1977-03-05,Sábado,MC 3º,67,5
1400,1977-03-09,Quarta-feira,MC 2º,67,1
1401,1977-03-12,Sábado,MC 1º,67,1
1407,1977-04-02,Sábado,MC 1º,67,6
1412,1977-04-23,Sábado,MC 5º,67,5
1430,1977-06-29,Quarta-feira,MC 1º,67,18
1440,1977-08-03,Quarta-feira,MC 1º,67,10
1442,1977-08-13,Sábado,MC 4º,67,2
1443,1977-08-17,Quarta-feira,MC 4º,67,1
1473,1977-12-14,Quarta-feira,MC 3º,67,30
1498,1978-03-22,Quarta-feira,MC 2º,67,25
1550,1978-10-04,Quarta-feira,MC 1º,67,52
1551,1978-10-11,Quarta-feira,MC 3º,67,1
1555,1978-10-25,Quarta-feira,MC 3º,67,4
1575,1979-01-13,Sábado,MC 4º,67,20
1583,1979-02-14,Quarta-feira,MC 2º,67,8
1584,1979-02-17,Sábado,MC 5º,67,1
1586,1979-02-24,Sábado,MC 1º,67,2
1596,1979-04-04,Quarta-feira,MC 3º,67,10
1630,1979-08-18,Sábado,MC 3º,67,34
1636,1979-09-12,Quarta-feira,MC 1º,67,6
1721,1980-08-16,Sábado,MC 5º,67,85
1764,1981-01-28,Quarta-feira,MC 4º,67,43
1771,1981-02-21,Sábado,MC 1º,67,7
1805,1981-07-11,Sábado,MC 1º,67,34
1812,1981-08-08,Sábado,MC 2º,67,7
1823,1981-09-16,Quarta-feira,MC 4º,67,11
1841,1981-11-25,Quarta-feira,MC 4º,67,18
1855,1982-01-20,Quarta-feira,MC 3º,67,14
1875,1982-04-07,Quarta-feira,MC 2º,67,20
1889,1982-06-09,Quarta-feira,MC 3º,67,14
1899,1982-07-14,Quarta-feira,MC 2º,67,10
1904,1982-08-04,Quarta-feira,MC 3º,67,5
1915,1982-09-15,Quarta-feira,MC 4º,67,11
1944,1983-01-12,Quarta-feira,MC 3º,67,29
1949,1983-01-29,Sábado,MC 4º,67,5
1951,1983-02-05,Sábado,MC 5º,67,2
1990,1983-07-02,Sábado,MC 5º,67,39
2001,1983-08-13,Sábado,MC 5º,67,11
2010,1983-09-17,Sábado,MC 4º,67,9
2013,1983-09-28,Quarta-feira,MC 1º,67,3
2054,1984-03-14,Quarta-feira,MC 2º,67,41
2075,1984-06-09,Sábado,MC 1º,67,21
2090,1984-08-08,Quarta-feira,MC 5º,67,15
