Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
4,1962-10-03,Quarta-feira,MC 5º,35,4
19,1962-11-28,Quarta-feira,MC 2º,35,15
19,1962-11-28,Quarta-feira,MC 5º,35,0
29,1963-01-05,Sábado,MC 3º,35,10
38,1963-02-06,Quarta-feira,MC 3º,35,9
40,1963-02-13,Quarta-feira,MC 4º,35,2
53,1963-04-03,Quarta-feira,MC 3º,35,13
125,1963-12-28,Sábado,MC 3º,35,72
148,1964-03-25,Quarta-feira,MC 3º,35,23
182,1964-07-25,Sábado,MC 1º,35,34
184,1964-08-01,Sábado,MC 2º,35,2
208,1964-10-28,Quarta-feira,MC 5º,35,24
250,1965-04-03,Sábado,MC 5º,35,42
258,1965-05-08,Sábado,MC 3º,35,8
266,1965-06-05,Sábado,MC 2º,35,8
290,1965-08-28,Sábado,MC 3º,35,24
302,1965-10-09,Sábado,MC 2º,35,12
313,1965-11-17,Quarta-feira,MC 1º,35,11
342,1966-03-09,Quarta-feira,MC 1º,35,29
347,1966-03-26,Sábado,MC 5º,35,5
381,1966-07-23,Sábado,MC 3º,35,34
384,1966-08-03,Quarta-feira,MC 2º,35,3
394,1966-09-10,Sábado,MC 4º,35,10
414,1966-11-23,Quarta-feira,MC 5º,35,20
421,1966-12-17,Sábado,MC 3º,35,7
422,1966-12-21,Quarta-feira,MC 2º,35,1
432,1967-01-25,Quarta-feira,MC 1º,35,10
477,1967-07-05,Quarta-feira,MC 5º,35,45
501,1967-09-27,Quarta-feira,MC 3º,35,24
515,1967-11-18,Sábado,MC 5º,35,14
613,1968-11-09,Sábado,MC 3º,35,98
630,1969-01-15,Quarta-feira,MC 5º,35,17
633,1969-01-25,Sábado,MC 3º,35,3
657,1969-04-26,Sábado,MC 4º,35,24
659,1969-05-03,Sábado,MC 1º,35,2
665,1969-05-24,Sábado,MC 5º,35,6
700,1969-09-24,Quarta-feira,MC 5º,35,35
719,1969-12-03,Quarta-feira,MC 4º,35,19
722,1969-12-13,Sábado,MC 4º,35,3
762,1970-05-16,Sábado,MC 4º,35,40
780,1970-07-18,Sábado,MC 3º,35,18
827,1971-01-06,Quarta-feira,MC 1º,35,47
844,1971-03-13,Sábado,MC 1º,35,17
868,1971-06-16,Quarta-feira,MC 5º,35,24
894,1971-09-22,Quarta-feira,MC 3º,35,26
912,1971-12-01,Quarta-feira,MC 1º,35,18
959,1972-06-28,Quarta-feira,MC 1º,35,47
968,1972-08-09,Quarta-feira,MC 5º,35,9
975,1972-09-13,Quarta-feira,MC 4º,35,7
978,1972-09-27,Quarta-feira,MC 3º,35,3
983,1972-10-14,Sábado,MC 1º,35,5
1017,1973-03-17,Sábado,MC 4º,35,34
1020,1973-03-31,Sábado,MC 3º,35,3
1023,1973-04-11,Quarta-feira,MC 2º,35,3
1023,1973-04-11,Quarta-feira,MC 5º,35,0
1062,1973-09-01,Sábado,MC 2º,35,39
1072,1973-10-06,Sábado,MC 4º,35,10
