Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
25,1962-12-22,Sábado,MC 4º,30,25
30,1963-01-09,Quarta-feira,MC 3º,30,5
44,1963-03-02,Sábado,MC 4º,30,14
64,1963-05-18,Sábado,MC 1º,30,20
77,1963-07-03,Quarta-feira,MC 1º,30,13
80,1963-07-13,Sábado,MC 1º,30,3
82,1963-07-20,Sábado,MC 4º,30,2
105,1963-10-12,Sábado,MC 1º,30,23
117,1963-11-27,Quarta-feira,MC 3º,30,12
122,1963-12-14,Sábado,MC 1º,30,5
131,1964-01-22,Quarta-feira,MC 5º,30,9
181,1964-07-22,Quarta-feira,MC 5º,30,50
213,1964-11-14,Sábado,MC 4º,30,32
214,1964-11-18,Quarta-feira,MC 2º,30,1
234,1965-02-03,Quarta-feira,MC 3º,30,20
251,1965-04-07,Quarta-feira,MC 3º,30,17
325,1966-01-05,Quarta-feira,MC 2º,30,74
333,1966-02-02,Quarta-feira,MC 1º,30,8
336,1966-02-12,Sábado,MC 5º,30,3
346,1966-03-23,Quarta-feira,MC 3º,30,10
404,1966-10-15,Sábado,MC 3º,30,58
407,1966-10-26,Quarta-feira,MC 1º,30,3
444,1967-03-11,Sábado,MC 1º,30,37
469,1967-06-07,Quarta-feira,MC 4º,30,25
469,1967-06-07,Quarta-feira,MC 5º,30,0
482,1967-07-22,Sábado,MC 4º,30,13
551,1968-03-27,Quarta-feira,MC 2º,30,69
636,1969-02-05,Quarta-feira,MC 1º,30,85
646,1969-03-15,Sábado,MC 2º,30,10
659,1969-05-03,Sábado,MC 4º,30,13
661,1969-05-10,Sábado,MC 2º,30,2
715,1969-11-19,Quarta-feira,MC 2º,30,54
735,1970-02-04,Quarta-feira,MC 4º,30,20
738,1970-02-18,Quarta-feira,MC 5º,30,3
739,1970-02-21,Sábado,MC 4º,30,1
759,1970-05-06,Quarta-feira,MC 3º,30,20
766,1970-05-30,Sábado,MC 2º,30,7
778,1970-07-11,Sábado,MC 5º,30,12
819,1970-12-02,Quarta-feira,MC 2º,30,41
825,1970-12-23,Quarta-feira,MC 2º,30,6
830,1971-01-16,Sábado,MC 5º,30,5
838,1971-02-17,Quarta-feira,MC 3º,30,8
849,1971-03-31,Quarta-feira,MC 4º,30,11
861,1971-05-22,Sábado,MC 2º,30,12
861,1971-05-22,Sábado,MC 3º,30,0
880,1971-07-28,Quarta-feira,MC 3º,30,19
890,1971-09-04,Sábado,MC 1º,30,10
931,1972-03-04,Sábado,MC 5º,30,41
951,1972-05-24,Quarta-feira,MC 2º,30,20
1015,1973-03-10,Sábado,MC 3º,30,64
1023,1973-04-11,Quarta-feira,MC 4º,30,8
1026,1973-04-25,Quarta-feira,MC 2º,30,3
1028,1973-05-02,Quarta-feira,MC 3º,30,2
1048,1973-07-11,Quarta-feira,MC 5º,30,20
1059,1973-08-22,Quarta-feira,MC 3º,30,11
1070,1973-09-29,Sábado,MC 5º,30,11
1090,1973-12-08,Sábado,MC 4º,30,20
1093,1973-12-19,Quarta-feira,MC 5º,30,3
1095,1973-12-29,Sábado,MC 5º,30,2
1109,1974-02-20,Quarta-feira,MC 1º,30,14
1113,1974-03-09,Sábado,MC 4º,30,4
1119,1974-03-30,Sábado,MC 2º,30,6
1152,1974-07-27,Sábado,MC 1º,30,33
1182,1974-11-20,Quarta-feira,MC 5º,30,30
