Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
24,1962-12-19,Quarta-feira,MC 3º,16,24
35,1963-01-26,Sábado,MC 2º,16,11
48,1963-03-16,Sábado,MC 5º,16,13
120,1963-12-07,Sábado,MC 2º,16,72
127,1964-01-08,Quarta-feira,MC 3º,16,7
132,1964-01-25,Sábado,MC 2º,16,5
167,1964-06-03,Quarta-feira,MC 5º,16,35
168,1964-06-06,Sábado,MC 2º,16,1
179,1964-07-15,Quarta-feira,MC 1º,16,11
222,1964-12-16,Quarta-feira,MC 2º,16,43
245,1965-03-17,Quarta-feira,MC 3º,16,23
269,1965-06-16,Quarta-feira,MC 4º,16,24
272,1965-06-26,Sábado,MC 1º,16,3
276,1965-07-10,Sábado,MC 5º,16,4
319,1965-12-08,Quarta-feira,MC 4º,16,43
328,1966-01-15,Sábado,MC 4º,16,9
339,1966-02-26,Sábado,MC 4º,16,11
341,1966-03-05,Sábado,MC 2º,16,2
346,1966-03-23,Quarta-feira,MC 5º,16,5
355,1966-04-23,Sábado,MC 5º,16,9
416,1966-11-30,Quarta-feira,MC 3º,16,61
444,1967-03-11,Sábado,MC 2º,16,28
457,1967-04-26,Quarta-feira,MC 4º,16,13
511,1967-11-01,Quarta-feira,MC 4º,16,54
514,1967-11-11,Sábado,MC 3º,16,3
514,1967-11-11,Sábado,MC 5º,16,0
520,1967-12-06,Quarta-feira,MC 2º,16,6
536,1968-01-31,Quarta-feira,MC 1º,16,16
550,1968-03-23,Sábado,MC 2º,16,14
572,1968-06-12,Quarta-feira,MC 3º,16,22
596,1968-09-04,Quarta-feira,MC 2º,16,24
623,1968-12-14,Sábado,MC 2º,16,27
634,1969-01-29,Quarta-feira,MC 2º,16,11
707,1969-10-18,Sábado,MC 4º,16,73
725,1969-12-24,Quarta-feira,MC 5º,16,18
746,1970-03-18,Quarta-feira,MC 4º,16,21
753,1970-04-15,Quarta-feira,MC 4º,16,7
763,1970-05-20,Quarta-feira,MC 3º,16,10
777,1970-07-08,Quarta-feira,MC 5º,16,14
805,1970-10-14,Quarta-feira,MC 4º,16,28
815,1970-11-18,Quarta-feira,MC 5º,16,10
817,1970-11-25,Quarta-feira,MC 5º,16,2
861,1971-05-22,Sábado,MC 5º,16,44
865,1971-06-05,Sábado,MC 3º,16,4
878,1971-07-21,Quarta-feira,MC 3º,16,13
891,1971-09-11,Sábado,MC 4º,16,13
898,1971-10-06,Quarta-feira,MC 4º,16,7
915,1971-12-11,Sábado,MC 5º,16,17
969,1972-08-12,Sábado,MC 3º,16,54
984,1972-10-18,Quarta-feira,MC 1º,16,15
998,1972-12-16,Sábado,MC 3º,16,14
999,1972-12-23,Sábado,MC 5º,16,1
1085,1973-11-21,Quarta-feira,MC 5º,16,86
1099,1974-01-16,Quarta-feira,MC 2º,16,14
1136,1974-06-01,Sábado,MC 1º,16,37
1168,1974-09-28,Sábado,MC 5º,16,32
1173,1974-10-16,Quarta-feira,MC 4º,16,5
1182,1974-11-20,Quarta-feira,MC 2º,16,9
1257,1975-08-30,Sábado,MC 2º,16,75
1277,1975-11-12,Quarta-feira,MC 4º,16,20
1333,1976-06-23,Quarta-feira,MC 5º,16,56
1347,1976-08-14,Sábado,MC 1º,16,14
1393,1977-02-09,Quarta-feira,MC 2º,16,46
1474,1977-12-17,Sábado,MC 4º,16,81
1475,1977-12-21,Quarta-feira,MC 2º,16,1
1516,1978-06-03,Sábado,MC 5º,16,41
1558,1978-11-04,Sábado,MC 1º,16,42
1608,1979-05-30,Quarta-feira,MC 5º,16,50
1631,1979-08-22,Quarta-feira,MC 1º,16,23
1640,1979-09-26,Quarta-feira,MC 4º,16,9
1641,1979-09-29,Sábado,MC 2º,16,1
1699,1980-05-28,Quarta-feira,MC 3º,16,58
1706,1980-06-21,Sábado,MC 2º,16,7
1725,1980-08-30,Sábado,MC 1º,16,19
1738,1980-10-18,Sábado,MC 5º,16,13
1783,1981-04-11,Sábado,MC 3º,16,45
1798,1981-06-17,Quarta-feira,MC 5º,16,15
1812,1981-08-08,Sábado,MC 3º,16,14
1821,1981-09-09,Quarta-feira,MC 3º,16,9
1850,1981-12-30,Quarta-feira,MC 2º,16,29
1863,1982-02-17,Quarta-feira,MC 5º,16,13
1870,1982-03-17,Quarta-feira,MC 1º,16,7
1881,1982-05-08,Sábado,MC 2º,16,11
1888,1982-06-05,Sábado,MC 3º,16,7
1890,1982-06-12,Sábado,MC 4º,16,2
1892,1982-06-19,Sábado,MC 4º,16,2
1894,1982-06-26,Sábado,MC 5º,16,2
1930,1982-11-17,Quarta-feira,MC 1º,16,36
1934,1982-12-01,Quarta-feira,MC 3º,16,4
1961,1983-03-19,Sábado,MC 4º,16,27
1970,1983-04-20,Quarta-feira,MC 2º,16,9
1975,1983-05-11,Quarta-feira,MC 1º,16,5
2059,1984-04-04,Quarta-feira,MC 1º,16,84
2107,1984-10-17,Quarta-feira,MC 4º,16,48
2133,1985-02-02,Sábado,MC 4º,16,26
2150,1985-04-10,Quarta-feira,MC 1º,16,17
2166,1985-06-12,Quarta-feira,MC 5º,16,16
2176,1985-07-17,Quarta-feira,MC 2º,16,10
2209,1985-11-20,Quarta-feira,MC 3º,16,33
2209,1985-11-20,Quarta-feira,MC 5º,16,0
2248,1986-04-19,Sábado,MC 2º,16,39
2260,1986-06-11,Quarta-feira,MC 1º,16,12
2295,1986-10-25,Sábado,MC 3º,16,35
2298,1986-11-09,Domingo,MC 3º,16,3
2303,1986-11-29,Sábado,MC 3º,16,5
2323,1987-02-18,Quarta-feira,MC 2º,16,20
2348,1987-05-23,Sábado,MC 4º,16,25
2370,1987-08-08,Sábado,MC 2º,16,22
2460,1988-07-30,Sábado,MC 3º,16,90
2491,1988-11-30,Quarta-feira,MC 2º,16,31
2503,1989-01-21,Sábado,MC 5º,16,12
2524,1989-04-12,Quarta-feira,MC 2º,16,21
2554,1989-08-12,Sábado,MC 2º,16,30
2565,1989-09-23,Sábado,MC 1º,16,11
2683,1991-02-20,Quarta-feira,MC 5º,16,118
2693,1991-03-27,Quarta-feira,MC 5º,16,10
2703,1991-05-08,Quarta-feira,MC 4º,16,10
2722,1991-07-24,Quarta-feira,MC 1º,16,19
2734,1991-09-04,Quarta-feira,MC 4º,16,12
2737,1991-09-18,Quarta-feira,MC 1º,16,3
2744,1991-10-16,Quarta-feira,MC 1º,16,7
2773,1992-02-12,Quarta-feira,MC 2º,16,29
2808,1992-07-25,Sábado,MC 5º,16,35
2821,1992-10-24,Sábado,MC 4º,16,13
2823,1992-11-07,Sábado,MC 1º,16,2
2880,1993-11-27,Sábado,MC 1º,16,57
2890,1994-01-15,Sábado,MC 5º,16,10
2892,1994-01-22,Sábado,MC 2º,16,2
2958,1994-10-08,Sábado,MC 3º,16,66
2961,1994-10-22,Sábado,MC 4º,16,3
2971,1994-12-03,Sábado,MC 3º,16,10
3027,1995-08-02,Quarta-feira,MC 3º,16,56
3049,1995-10-28,Sábado,MC 2º,16,22
3061,1996-12-23,Segunda-feira,MC 4º,16,12
3062,1995-12-30,Sábado,MC 1º,16,1
3084,1996-03-30,Sábado,MC 1º,16,22
3103,1996-06-22,Sábado,MC 3º,16,19
3104,1996-06-26,Quarta-feira,MC 1º,16,1
3107,1996-07-06,Sábado,MC 1º,16,3
3132,1996-10-19,Sábado,MC 4º,16,25
3146,1996-12-21,Sábado,MC 5º,16,14
3163,1997-03-08,Sábado,MC 2º,16,17
3173,1997-04-16,Quarta-feira,MC 1º,16,10
3180,1997-05-17,Sábado,MC 3º,16,7
3184,1997-06-04,Quarta-feira,MC 3º,16,4
3222,1997-10-25,Sábado,MC 5º,16,38
3226,1997-11-08,Sábado,MC 1º,16,4
3239,1998-01-07,Quarta-feira,MC 2º,16,13
3264,1998-04-11,Sábado,MC 5º,16,25
3267,1998-04-25,Sábado,MC 5º,16,3
3283,1998-07-04,Sábado,MC 2º,16,16
3300,1998-09-05,Sábado,MC 5º,16,17
3366,1999-05-26,Quarta-feira,MC 2º,16,66
3378,1999-07-14,Quarta-feira,MC 2º,16,12
3391,1999-08-28,Sábado,MC 4º,16,13
3417,1999-12-11,Sábado,MC 1º,16,26
3475,2000-07-29,Sábado,MC 4º,16,58
3497,2000-10-21,Sábado,MC 5º,16,22
3505,2000-11-25,Sábado,MC 1º,16,8
3518,2001-01-20,Sábado,MC 4º,16,13
3533,2001-03-17,Sábado,MC 5º,16,15
3563,2001-07-18,Quarta-feira,MC 5º,16,30
3564,2001-07-21,Sábado,MC 3º,16,1
3580,2001-09-19,Quarta-feira,MC 4º,16,16
3592,2001-11-07,Quarta-feira,MC 4º,16,12
3638,2002-05-11,Sábado,MC 1º,16,46
3639,2002-05-15,Quarta-feira,MC 2º,16,1
3658,2002-07-27,Sábado,MC 4º,16,19
3660,2002-08-03,Sábado,MC 1º,16,2
3672,2002-09-21,Sábado,MC 4º,16,12
3684,2002-11-09,Sábado,MC 5º,16,12
3729,2003-04-30,Quarta-feira,MC 1º,16,45
3741,2003-06-11,Quarta-feira,MC 2º,16,12
3747,2003-07-02,Quarta-feira,MC 4º,16,6
3762,2003-08-23,Sábado,MC 3º,16,15
3819,2004-03-24,Quarta-feira,MC 3º,16,57
3846,2004-07-03,Sábado,MC 3º,16,27
3849,2004-07-14,Quarta-feira,MC 3º,16,3
3855,2004-08-04,Quarta-feira,MC 3º,16,6
3910,2005-02-19,Sábado,MC 1º,16,55
3915,2005-03-09,Quarta-feira,MC 2º,16,5
3956,2005-07-30,Sábado,MC 3º,16,41
3964,2005-08-27,Sábado,MC 1º,16,8
3993,2005-12-17,Sábado,MC 1º,16,29
4015,2006-03-04,Sábado,MC 4º,16,22
4021,2006-03-25,Sábado,MC 3º,16,6
4031,2006-04-29,Sábado,MC 1º,16,10
4033,2006-05-06,Sábado,MC 3º,16,2
4040,2006-05-31,Quarta-feira,MC 3º,16,7
4064,2006-08-23,Quarta-feira,MC 3º,16,24
4128,2007-04-07,Sábado,MC 3º,16,64
4197,2007-12-08,Sábado,MC 5º,16,69
4220,2008-02-27,Quarta-feira,MC 2º,16,23
4227,2008-03-22,Sábado,MC 2º,16,7
4228,2008-03-26,Quarta-feira,MC 1º,16,1
4231,2008-04-05,Sábado,MC 3º,16,3
4236,2008-04-23,Quarta-feira,MC 2º,16,5
4298,2008-11-29,Sábado,MC 4º,16,62
4337,2009-04-15,Quarta-feira,MC 3º,16,39
4354,2009-06-13,Sábado,MC 1º,16,17
4383,2009-09-23,Quarta-feira,MC 3º,16,29
4415,2010-01-13,Quarta-feira,MC 2º,16,32
4420,2010-01-30,Sábado,MC 1º,16,5
4438,2010-04-03,Sábado,MC 4º,16,18
4472,2010-08-04,Quarta-feira,MC 1º,16,34
4479,2010-08-28,Sábado,MC 1º,16,7
4502,2010-11-17,Quarta-feira,MC 1º,16,23
4503,2010-11-20,Sábado,MC 1º,16,1
4519,2011-01-15,Sábado,MC 1º,16,16
4547,2011-04-23,Sábado,MC 1º,16,28
4554,2011-05-18,Quarta-feira,MC 1º,16,7
4573,2011-07-23,Sábado,MC 4º,16,19
4683,2012-08-11,Sábado,MC 5º,16,110
4695,2012-09-22,Sábado,MC 2º,16,12
4697,2012-09-29,Sábado,MC 4º,16,2
4700,2012-10-10,Quarta-feira,MC 1º,16,3
4703,2012-10-20,Sábado,MC 2º,16,3
4779,2013-07-13,Sábado,MC 5º,16,76
4835,2014-01-25,Sábado,MC 3º,16,56
4840,2014-02-12,Quarta-feira,MC 5º,16,5
4856,2014-04-09,Quarta-feira,MC 5º,16,16
4857,2014-04-12,Sábado,MC 1º,16,1
4860,2014-04-23,Quarta-feira,MC 1º,16,3
4865,2014-05-10,Sábado,MC 4º,16,5
4866,2014-05-14,Quarta-feira,MC 3º,16,1
4870,2014-05-28,Quarta-feira,MC 5º,16,4
4876,2014-06-18,Quarta-feira,MC 2º,16,6
4917,2014-11-08,Sábado,MC 4º,16,41
4922,2014-11-26,Quarta-feira,MC 4º,16,5
