Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
29,1963-01-05,Sábado,MC 5º,12,29
32,1963-01-16,Quarta-feira,MC 4º,12,3
48,1963-03-16,Sábado,MC 2º,12,16
61,1963-05-08,Quarta-feira,MC 2º,12,13
71,1963-06-12,Quarta-feira,MC 1º,12,10
84,1963-07-27,Sábado,MC 1º,12,13
102,1963-10-02,Quarta-feira,MC 5º,12,18
149,1964-04-06,Segunda-feira,MC 2º,12,47
176,1964-07-04,Sábado,MC 1º,12,27
190,1964-08-26,Quarta-feira,MC 3º,12,14
199,1964-09-26,Sábado,MC 4º,12,9
222,1964-12-16,Quarta-feira,MC 3º,12,23
226,1964-12-30,Quarta-feira,MC 5º,12,4
248,1965-03-27,Sábado,MC 5º,12,22
254,1965-04-17,Sábado,MC 4º,12,6
260,1965-05-15,Sábado,MC 5º,12,6
285,1965-08-11,Quarta-feira,MC 5º,12,25
307,1965-10-27,Quarta-feira,MC 2º,12,22
339,1966-02-26,Sábado,MC 5º,12,32
387,1966-08-13,Sábado,MC 4º,12,48
393,1966-09-03,Sábado,MC 1º,12,6
395,1966-09-14,Quarta-feira,MC 4º,12,2
399,1966-09-28,Quarta-feira,MC 4º,12,4
419,1966-12-10,Sábado,MC 2º,12,20
428,1967-01-11,Quarta-feira,MC 2º,12,9
442,1967-03-04,Sábado,MC 2º,12,14
489,1967-08-16,Quarta-feira,MC 2º,12,47
496,1967-09-09,Sábado,MC 1º,12,7
503,1967-10-04,Quarta-feira,MC 1º,12,7
518,1967-11-29,Quarta-feira,MC 2º,12,15
523,1967-12-16,Sábado,MC 4º,12,5
565,1968-05-18,Sábado,MC 3º,12,42
587,1968-08-03,Sábado,MC 2º,12,22
590,1968-08-14,Quarta-feira,MC 4º,12,3
593,1968-08-24,Sábado,MC 3º,12,3
641,1969-02-26,Quarta-feira,MC 2º,12,48
650,1969-03-29,Sábado,MC 3º,12,9
684,1969-07-30,Quarta-feira,MC 5º,12,34
713,1969-11-08,Sábado,MC 2º,12,29
713,1969-11-08,Sábado,MC 3º,12,0
741,1970-02-28,Sábado,MC 2º,12,28
752,1970-04-11,Sábado,MC 5º,12,11
775,1970-07-01,Quarta-feira,MC 4º,12,23
788,1970-08-15,Sábado,MC 1º,12,13
808,1970-10-24,Sábado,MC 1º,12,20
815,1970-11-18,Quarta-feira,MC 3º,12,7
822,1970-12-12,Sábado,MC 2º,12,7
842,1971-03-06,Sábado,MC 5º,12,20
844,1971-03-13,Sábado,MC 4º,12,2
851,1971-04-07,Quarta-feira,MC 5º,12,7
852,1971-04-14,Quarta-feira,MC 3º,12,1
853,1971-04-17,Sábado,MC 1º,12,1
921,1972-01-15,Sábado,MC 4º,12,68
937,1972-03-25,Sábado,MC 3º,12,16
956,1972-06-14,Quarta-feira,MC 4º,12,19
993,1972-11-29,Quarta-feira,MC 1º,12,37
1026,1973-04-25,Quarta-feira,MC 5º,12,33
1084,1973-11-17,Sábado,MC 2º,12,58
1099,1974-01-16,Quarta-feira,MC 1º,12,15
1100,1974-01-19,Sábado,MC 3º,12,1
1121,1974-04-06,Sábado,MC 2º,12,21
1136,1974-06-01,Sábado,MC 2º,12,15
1162,1974-09-04,Quarta-feira,MC 5º,12,26
1217,1975-04-05,Sábado,MC 3º,12,55
1262,1975-09-17,Quarta-feira,MC 1º,12,45
1270,1975-10-15,Quarta-feira,MC 3º,12,8
1339,1976-07-14,Quarta-feira,MC 1º,12,69
1355,1976-09-11,Sábado,MC 2º,12,16
1415,1977-05-07,Sábado,MC 5º,12,60
1442,1977-08-13,Sábado,MC 3º,12,27
1471,1977-12-07,Quarta-feira,MC 4º,12,29
1497,1978-03-18,Sábado,MC 1º,12,26
1568,1978-12-16,Sábado,MC 2º,12,71
1585,1979-02-21,Quarta-feira,MC 3º,12,17
1588,1979-03-07,Quarta-feira,MC 1º,12,3
1613,1979-06-16,Sábado,MC 3º,12,25
1637,1979-09-15,Sábado,MC 1º,12,24
1653,1979-11-21,Quarta-feira,MC 1º,12,16
1702,1980-06-07,Sábado,MC 2º,12,49
1801,1981-06-27,Sábado,MC 5º,12,99
1826,1981-09-26,Sábado,MC 5º,12,25
1892,1982-06-19,Sábado,MC 3º,12,66
1900,1982-07-17,Sábado,MC 4º,12,8
1929,1982-11-13,Sábado,MC 4º,12,29
1967,1983-04-09,Sábado,MC 2º,12,38
1985,1983-06-15,Quarta-feira,MC 2º,12,18
1987,1983-06-22,Quarta-feira,MC 4º,12,2
1991,1983-07-06,Quarta-feira,MC 2º,12,4
2008,1983-09-10,Sábado,MC 3º,12,17
2033,1983-12-24,Sábado,MC 3º,12,25
2052,1984-03-03,Sábado,MC 3º,12,19
2060,1984-04-07,Sábado,MC 4º,12,8
2062,1984-04-14,Sábado,MC 1º,12,2
2091,1984-08-11,Sábado,MC 2º,12,29
2105,1984-10-03,Quarta-feira,MC 5º,12,14
2114,1984-11-21,Quarta-feira,MC 1º,12,9
2124,1984-12-29,Sábado,MC 4º,12,10
2184,1985-08-14,Quarta-feira,MC 4º,12,60
2185,1985-08-17,Sábado,MC 2º,12,1
2224,1986-01-18,Sábado,MC 4º,12,39
2232,1986-02-19,Quarta-feira,MC 2º,12,8
2239,1986-03-15,Sábado,MC 3º,12,7
2241,1986-03-23,Domingo,MC 5º,12,2
2255,1986-05-21,Quarta-feira,MC 4º,12,14
2289,1986-10-01,Quarta-feira,MC 3º,12,34
2309,1986-12-24,Quarta-feira,MC 5º,12,20
2311,1987-01-07,Quarta-feira,MC 2º,12,2
2330,1987-03-18,Quarta-feira,MC 4º,12,19
2384,1987-10-03,Sábado,MC 3º,12,54
2387,1987-10-18,Domingo,MC 3º,12,3
2397,1987-11-25,Quarta-feira,MC 3º,12,10
2431,1988-04-09,Sábado,MC 4º,12,34
