Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
10,1962-10-24,Quarta-feira,MC 3º,27,10
37,1963-02-02,Sábado,MC 4º,27,27
55,1963-04-10,Quarta-feira,MC 3º,27,18
74,1963-06-22,Sábado,MC 4º,27,19
107,1963-10-19,Sábado,MC 2º,27,33
129,1964-01-15,Quarta-feira,MC 1º,27,22
129,1964-01-15,Quarta-feira,MC 2º,27,0
143,1964-03-07,Sábado,MC 1º,27,14
227,1965-01-06,Quarta-feira,MC 3º,27,84
257,1965-05-05,Quarta-feira,MC 2º,27,30
325,1966-01-05,Quarta-feira,MC 4º,27,68
326,1966-01-08,Sábado,MC 3º,27,1
363,1966-05-21,Sábado,MC 4º,27,37
373,1966-06-25,Sábado,MC 2º,27,10
377,1966-07-07,Quinta-feira,MC 1º,27,4
443,1967-03-08,Quarta-feira,MC 3º,27,66
458,1967-04-29,Sábado,MC 4º,27,15
463,1967-05-17,Quarta-feira,MC 1º,27,5
471,1967-06-14,Quarta-feira,MC 2º,27,8
485,1967-08-02,Quarta-feira,MC 5º,27,14
505,1967-10-11,Quarta-feira,MC 1º,27,20
517,1967-11-25,Sábado,MC 3º,27,12
572,1968-06-12,Quarta-feira,MC 2º,27,55
583,1968-07-20,Sábado,MC 3º,27,11
585,1968-07-27,Sábado,MC 2º,27,2
607,1968-10-16,Quarta-feira,MC 2º,27,22
629,1969-01-11,Sábado,MC 2º,27,22
688,1969-08-13,Quarta-feira,MC 3º,27,59
726,1969-12-31,Quarta-feira,MC 4º,27,38
761,1970-05-13,Quarta-feira,MC 3º,27,35
767,1970-06-03,Quarta-feira,MC 4º,27,6
770,1970-06-13,Sábado,MC 5º,27,3
773,1970-06-24,Quarta-feira,MC 3º,27,3
781,1970-07-22,Quarta-feira,MC 1º,27,8
803,1970-10-07,Quarta-feira,MC 5º,27,22
816,1970-11-21,Sábado,MC 2º,27,13
819,1970-12-02,Quarta-feira,MC 4º,27,3
835,1971-02-06,Sábado,MC 5º,27,16
888,1971-08-28,Sábado,MC 3º,27,53
908,1971-11-13,Sábado,MC 1º,27,20
920,1972-01-12,Quarta-feira,MC 2º,27,12
947,1972-05-10,Quarta-feira,MC 2º,27,27
948,1972-05-13,Sábado,MC 4º,27,1
949,1972-05-17,Quarta-feira,MC 3º,27,1
963,1972-07-15,Sábado,MC 4º,27,14
973,1972-09-02,Sábado,MC 3º,27,10
1036,1973-05-30,Quarta-feira,MC 3º,27,63
1071,1973-10-03,Quarta-feira,MC 3º,27,35
1080,1973-11-03,Sábado,MC 4º,27,9
1128,1974-05-04,Sábado,MC 5º,27,48
1137,1974-06-05,Quarta-feira,MC 1º,27,9
1143,1974-06-26,Quarta-feira,MC 5º,27,6
1161,1974-08-31,Sábado,MC 1º,27,18
1207,1975-02-26,Quarta-feira,MC 1º,27,46
1210,1975-03-08,Sábado,MC 4º,27,3
1214,1975-03-22,Sábado,MC 5º,27,4
1219,1975-04-12,Sábado,MC 1º,27,5
1229,1975-05-21,Quarta-feira,MC 3º,27,10
1268,1975-10-08,Quarta-feira,MC 2º,27,39
1273,1975-10-25,Sábado,MC 1º,27,5
1289,1975-12-31,Quarta-feira,MC 4º,27,16
1296,1976-01-31,Sábado,MC 1º,27,7
1318,1976-04-28,Quarta-feira,MC 3º,27,22
1335,1976-06-30,Quarta-feira,MC 3º,27,17
1339,1976-07-14,Quarta-feira,MC 5º,27,4
1342,1976-07-24,Sábado,MC 2º,27,3
1348,1976-08-18,Quarta-feira,MC 1º,27,6
1399,1977-03-05,Sábado,MC 2º,27,51
1404,1977-03-23,Quarta-feira,MC 2º,27,5
1424,1977-06-08,Quarta-feira,MC 4º,27,20
1526,1978-07-08,Sábado,MC 5º,27,102
1540,1978-08-30,Quarta-feira,MC 4º,27,14
1563,1978-11-29,Quarta-feira,MC 1º,27,23
1601,1979-04-28,Sábado,MC 2º,27,38
1661,1979-12-19,Quarta-feira,MC 2º,27,60
1678,1980-03-05,Quarta-feira,MC 4º,27,17
1680,1980-03-12,Quarta-feira,MC 3º,27,2
1684,1980-03-26,Quarta-feira,MC 1º,27,4
1684,1980-03-26,Quarta-feira,MC 4º,27,0
1689,1980-04-16,Quarta-feira,MC 2º,27,5
1750,1980-12-03,Quarta-feira,MC 2º,27,61
1752,1980-12-10,Quarta-feira,MC 3º,27,2
1765,1981-01-31,Sábado,MC 5º,27,13
1788,1981-05-09,Sábado,MC 4º,27,23
1811,1981-08-05,Quarta-feira,MC 3º,27,23
1812,1981-08-08,Sábado,MC 1º,27,1
1832,1981-10-21,Quarta-feira,MC 5º,27,20
1890,1982-06-12,Sábado,MC 1º,27,58
1920,1982-10-06,Quarta-feira,MC 1º,27,30
1920,1982-10-06,Quarta-feira,MC 3º,27,0
1922,1982-10-13,Quarta-feira,MC 5º,27,2
1924,1982-10-20,Quarta-feira,MC 2º,27,2
1950,1983-02-02,Quarta-feira,MC 1º,27,26
2005,1983-08-27,Sábado,MC 3º,27,55
2020,1983-10-29,Sábado,MC 4º,27,15
2062,1984-04-14,Sábado,MC 2º,27,42
2063,1984-04-18,Quarta-feira,MC 4º,27,1
2090,1984-08-08,Quarta-feira,MC 3º,27,27
2092,1984-08-15,Quarta-feira,MC 4º,27,2
2094,1984-08-22,Quarta-feira,MC 3º,27,2
2102,1984-09-22,Sábado,MC 5º,27,8
2123,1984-12-19,Quarta-feira,MC 5º,27,21
2125,1985-01-05,Sábado,MC 4º,27,2
2154,1985-04-24,Quarta-feira,MC 2º,27,29
2155,1985-04-27,Sábado,MC 2º,27,1
2161,1985-05-22,Quarta-feira,MC 1º,27,6
2189,1985-08-31,Sábado,MC 1º,27,28
2216,1985-12-14,Sábado,MC 5º,27,27
2224,1986-01-18,Sábado,MC 2º,27,8
2231,1986-02-15,Sábado,MC 5º,27,7
2236,1986-03-05,Quarta-feira,MC 2º,27,5
2239,1986-03-15,Sábado,MC 2º,27,3
2246,1986-04-12,Sábado,MC 4º,27,7
