Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
11,1962-10-27,sábado,3264,"[3,2,6,4]",32,"[I,P]","[I,P,P,P]",64,"[P,P]",16,PAR,LEÃO,6070,"[6,0,7,0]",60,"[P,P]","[P,P,I,P]",70,"[I,P]",18,PAR,PORCO,4611,"[4,6,1,1]",46,"[P,P]","[P,P,I,I]",11,"[I,I]",03,IMPAR,BURRO,7023,"[7,0,2,3]",70,"[I,P]","[I,P,P,I]",23,"[P,I]",06,PAR,CABRA,637,"[0,6,3,7]",06,"[P,P]","[P,P,I,I]",37,"[I,I]",10,PAR,COELHO
12,1962-10-31,quarta-feira,7058,"[7,0,5,8]",70,"[I,P]","[I,P,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,8897,"[8,8,9,7]",88,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA,4444,"[4,4,4,4]",44,"[P,P]","[P,P,P,P]",44,"[P,P]",11,IMPAR,CAVALO,6478,"[6,4,7,8]",64,"[P,P]","[P,P,I,P]",78,"[I,P]",20,PAR,PERU,962,"[0,9,6,2]",09,"[P,I]","[P,I,P,P]",62,"[P,P]",16,PAR,LEÃO
13,1962-11-07,quarta-feira,5275,"[5,2,7,5]",52,"[I,P]","[I,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,3129,"[3,1,2,9]",31,"[I,I]","[I,I,P,I]",29,"[P,I]",08,PAR,CAMELO,9176,"[9,1,7,6]",91,"[I,I]","[I,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,1921,"[1,9,2,1]",19,"[I,I]","[I,I,P,I]",21,"[P,I]",06,PAR,CABRA,5842,"[5,8,4,2]",58,"[I,P]","[I,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO
14,1962-11-10,sábado,3932,"[3,9,3,2]",39,"[I,I]","[I,I,I,P]",32,"[I,P]",08,PAR,CAMELO,5282,"[5,2,8,2]",52,"[I,P]","[I,P,P,P]",82,"[P,P]",21,IMPAR,TOURO,4715,"[4,7,1,5]",47,"[P,I]","[P,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA,3408,"[3,4,0,8]",34,"[I,P]","[I,P,P,P]",08,"[P,P]",02,PAR,ÁGUIA,8803,"[8,8,0,3]",88,"[P,P]","[P,P,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ
15,1962-11-14,quarta-feira,809,"[0,8,0,9]",08,"[P,P]","[P,P,P,I]",09,"[P,I]",03,IMPAR,BURRO,5041,"[5,0,4,1]",50,"[I,P]","[I,P,P,I]",41,"[P,I]",11,IMPAR,CAVALO,1942,"[1,9,4,2]",19,"[I,I]","[I,I,P,P]",42,"[P,P]",11,IMPAR,CAVALO,9510,"[9,5,1,0]",95,"[I,I]","[I,I,I,P]",10,"[I,P]",03,IMPAR,BURRO,9207,"[9,2,0,7]",92,"[I,P]","[I,P,P,I]",07,"[P,I]",02,PAR,ÁGUIA
16,1962-11-17,sábado,6536,"[6,5,3,6]",65,"[P,I]","[P,I,I,P]",36,"[I,P]",09,IMPAR,COBRA,5752,"[5,7,5,2]",57,"[I,I]","[I,I,I,P]",52,"[I,P]",13,IMPAR,GALO,6035,"[6,0,3,5]",60,"[P,P]","[P,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,9775,"[9,7,7,5]",97,"[I,I]","[I,I,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,9175,"[9,1,7,5]",91,"[I,I]","[I,I,I,I]",75,"[I,I]",19,IMPAR,PAVÃO
17,1962-11-21,quarta-feira,5913,"[5,9,1,3]",59,"[I,I]","[I,I,I,I]",13,"[I,I]",04,PAR,BORBOLETA,2173,"[2,1,7,3]",21,"[P,I]","[P,I,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,1454,"[1,4,5,4]",14,"[I,P]","[I,P,I,P]",54,"[I,P]",14,PAR,GATO,1363,"[1,3,6,3]",13,"[I,I]","[I,I,P,I]",63,"[P,I]",16,PAR,LEÃO,5010,"[5,0,1,0]",50,"[I,P]","[I,P,I,P]",10,"[I,P]",03,IMPAR,BURRO
18,1962-11-24,sábado,7716,"[7,7,1,6]",77,"[I,I]","[I,I,I,P]",16,"[I,P]",04,PAR,BORBOLETA,7891,"[7,8,9,1]",78,"[I,P]","[I,P,I,I]",91,"[I,I]",23,IMPAR,URSO,6139,"[6,1,3,9]",61,"[P,I]","[P,I,I,I]",39,"[I,I]",10,PAR,COELHO,7792,"[7,7,9,2]",77,"[I,I]","[I,I,I,P]",92,"[I,P]",23,IMPAR,URSO,5301,"[5,3,0,1]",53,"[I,I]","[I,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ
19,1962-11-28,quarta-feira,407,"[0,4,0,7]",04,"[P,P]","[P,P,P,I]",07,"[P,I]",02,PAR,ÁGUIA,3594,"[3,5,9,4]",35,"[I,I]","[I,I,I,P]",94,"[I,P]",24,PAR,VEADO,3789,"[3,7,8,9]",37,"[I,I]","[I,I,P,I]",89,"[P,I]",23,IMPAR,URSO,6677,"[6,6,7,7]",66,"[P,P]","[P,P,I,I]",77,"[I,I]",20,PAR,PERU,3565,"[3,5,6,5]",35,"[I,I]","[I,I,P,I]",65,"[P,I]",17,IMPAR,MACACO
20,1962-12-01,sábado,4413,"[4,4,1,3]",44,"[P,P]","[P,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,6267,"[6,2,6,7]",62,"[P,P]","[P,P,P,I]",67,"[P,I]",17,IMPAR,MACACO,2363,"[2,3,6,3]",23,"[P,I]","[P,I,P,I]",63,"[P,I]",16,PAR,LEÃO,1339,"[1,3,3,9]",13,"[I,I]","[I,I,I,I]",39,"[I,I]",10,PAR,COELHO,6524,"[6,5,2,4]",65,"[P,I]","[P,I,P,P]",24,"[P,P]",06,PAR,CABRA
21,1962-12-05,quarta-feira,9859,"[9,8,5,9]",98,"[I,P]","[I,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,1796,"[1,7,9,6]",17,"[I,I]","[I,I,I,P]",96,"[I,P]",24,PAR,VEADO,7438,"[7,4,3,8]",74,"[I,P]","[I,P,I,P]",38,"[I,P]",10,PAR,COELHO,456,"[0,4,5,6]",04,"[P,P]","[P,P,I,P]",56,"[I,P]",14,PAR,GATO,7238,"[7,2,3,8]",72,"[I,P]","[I,P,I,P]",38,"[I,P]",10,PAR,COELHO
22,1962-12-12,quarta-feira,6637,"[6,6,3,7]",66,"[P,P]","[P,P,I,I]",37,"[I,I]",10,PAR,COELHO,284,"[0,2,8,4]",02,"[P,P]","[P,P,P,P]",84,"[P,P]",21,IMPAR,TOURO,3185,"[3,1,8,5]",31,"[I,I]","[I,I,P,I]",85,"[P,I]",22,PAR,TIGRE,4896,"[4,8,9,6]",48,"[P,P]","[P,P,I,P]",96,"[I,P]",24,PAR,VEADO,2613,"[2,6,1,3]",26,"[P,P]","[P,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA
23,1962-12-15,sábado,122,"[0,1,2,2]",01,"[P,I]","[P,I,P,P]",22,"[P,P]",06,PAR,CABRA,5169,"[5,1,6,9]",51,"[I,I]","[I,I,P,I]",69,"[P,I]",18,PAR,PORCO,7548,"[7,5,4,8]",75,"[I,I]","[I,I,P,P]",48,"[P,P]",12,PAR,ELEFANTE,9570,"[9,5,7,0]",95,"[I,I]","[I,I,I,P]",70,"[I,P]",18,PAR,PORCO,9424,"[9,4,2,4]",94,"[I,P]","[I,P,P,P]",24,"[P,P]",06,PAR,CABRA
24,1962-12-19,quarta-feira,9471,"[9,4,7,1]",94,"[I,P]","[I,P,I,I]",71,"[I,I]",18,PAR,PORCO,3336,"[3,3,3,6]",33,"[I,I]","[I,I,I,P]",36,"[I,P]",09,IMPAR,COBRA,1604,"[1,6,0,4]",16,"[I,P]","[I,P,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ,592,"[0,5,9,2]",05,"[P,I]","[P,I,I,P]",92,"[I,P]",23,IMPAR,URSO,4373,"[4,3,7,3]",43,"[P,I]","[P,I,I,I]",73,"[I,I]",19,IMPAR,PAVÃO
25,1962-12-22,sábado,3457,"[3,4,5,7]",34,"[I,P]","[I,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ,2079,"[2,0,7,9]",20,"[P,P]","[P,P,I,I]",79,"[I,I]",20,PAR,PERU,8594,"[8,5,9,4]",85,"[P,I]","[P,I,I,P]",94,"[I,P]",24,PAR,VEADO,3094,"[3,0,9,4]",30,"[I,P]","[I,P,I,P]",94,"[I,P]",24,PAR,VEADO,1338,"[1,3,3,8]",13,"[I,I]","[I,I,I,P]",38,"[I,P]",10,PAR,COELHO
26,1962-12-26,quarta-feira,1865,"[1,8,6,5]",18,"[I,P]","[I,P,P,I]",65,"[P,I]",17,IMPAR,MACACO,1867,"[1,8,6,7]",18,"[I,P]","[I,P,P,I]",67,"[P,I]",17,IMPAR,MACACO,1972,"[1,9,7,2]",19,"[I,I]","[I,I,I,P]",72,"[I,P]",18,PAR,PORCO,3785,"[3,7,8,5]",37,"[I,I]","[I,I,P,I]",85,"[P,I]",22,PAR,TIGRE,8465,"[8,4,6,5]",84,"[P,P]","[P,P,P,I]",65,"[P,I]",17,IMPAR,MACACO
27,1962-12-29,sábado,6195,"[6,1,9,5]",61,"[P,I]","[P,I,I,I]",95,"[I,I]",24,PAR,VEADO,7828,"[7,8,2,8]",78,"[I,P]","[I,P,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO,7049,"[7,0,4,9]",70,"[I,P]","[I,P,P,I]",49,"[P,I]",13,IMPAR,GALO,7637,"[7,6,3,7]",76,"[I,P]","[I,P,I,I]",37,"[I,I]",10,PAR,COELHO,5744,"[5,7,4,4]",57,"[I,I]","[I,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO
28,1963-01-02,quarta-feira,9063,"[9,0,6,3]",90,"[I,P]","[I,P,P,I]",63,"[P,I]",16,PAR,LEÃO,5673,"[5,6,7,3]",56,"[I,P]","[I,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,5479,"[5,4,7,9]",54,"[I,P]","[I,P,I,I]",79,"[I,I]",20,PAR,PERU,2347,"[2,3,4,7]",23,"[P,I]","[P,I,P,I]",47,"[P,I]",12,PAR,ELEFANTE,6597,"[6,5,9,7]",65,"[P,I]","[P,I,I,I]",97,"[I,I]",25,IMPAR,VACA
29,1963-01-05,sábado,6584,"[6,5,8,4]",65,"[P,I]","[P,I,P,P]",84,"[P,P]",21,IMPAR,TOURO,2662,"[2,6,6,2]",26,"[P,P]","[P,P,P,P]",62,"[P,P]",16,PAR,LEÃO,3566,"[3,5,6,6]",35,"[I,I]","[I,I,P,P]",66,"[P,P]",17,IMPAR,MACACO,2094,"[2,0,9,4]",20,"[P,P]","[P,P,I,P]",94,"[I,P]",24,PAR,VEADO,1243,"[1,2,4,3]",12,"[I,P]","[I,P,P,I]",43,"[P,I]",11,IMPAR,CAVALO
30,1963-01-09,quarta-feira,5793,"[5,7,9,3]",57,"[I,I]","[I,I,I,I]",93,"[I,I]",24,PAR,VEADO,3312,"[3,3,1,2]",33,"[I,I]","[I,I,I,P]",12,"[I,P]",03,IMPAR,BURRO,3039,"[3,0,3,9]",30,"[I,P]","[I,P,I,I]",39,"[I,I]",10,PAR,COELHO,540,"[0,5,4,0]",05,"[P,I]","[P,I,P,P]",40,"[P,P]",10,PAR,COELHO,9415,"[9,4,1,5]",94,"[I,P]","[I,P,I,I]",15,"[I,I]",04,PAR,BORBOLETA
31,1963-01-12,sábado,6801,"[6,8,0,1]",68,"[P,P]","[P,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,9425,"[9,4,2,5]",94,"[I,P]","[I,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,9537,"[9,5,3,7]",95,"[I,I]","[I,I,I,I]",37,"[I,I]",10,PAR,COELHO,2547,"[2,5,4,7]",25,"[P,I]","[P,I,P,I]",47,"[P,I]",12,PAR,ELEFANTE,5724,"[5,7,2,4]",57,"[I,I]","[I,I,P,P]",24,"[P,P]",06,PAR,CABRA
32,1963-01-16,quarta-feira,689,"[0,6,8,9]",06,"[P,P]","[P,P,P,I]",89,"[P,I]",23,IMPAR,URSO,9533,"[9,5,3,3]",95,"[I,I]","[I,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,2491,"[2,4,9,1]",24,"[P,P]","[P,P,I,I]",91,"[I,I]",23,IMPAR,URSO,1211,"[1,2,1,1]",12,"[I,P]","[I,P,I,I]",11,"[I,I]",03,IMPAR,BURRO,6298,"[6,2,9,8]",62,"[P,P]","[P,P,I,P]",98,"[I,P]",25,IMPAR,VACA
33,1963-01-19,sábado,2393,"[2,3,9,3]",23,"[P,I]","[P,I,I,I]",93,"[I,I]",24,PAR,VEADO,2420,"[2,4,2,0]",24,"[P,P]","[P,P,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,2302,"[2,3,0,2]",23,"[P,I]","[P,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,9410,"[9,4,1,0]",94,"[I,P]","[I,P,I,P]",10,"[I,P]",03,IMPAR,BURRO,1715,"[1,7,1,5]",17,"[I,I]","[I,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA
34,1963-01-23,quarta-feira,8914,"[8,9,1,4]",89,"[P,I]","[P,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,2584,"[2,5,8,4]",25,"[P,I]","[P,I,P,P]",84,"[P,P]",21,IMPAR,TOURO,4401,"[4,4,0,1]",44,"[P,P]","[P,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,964,"[0,9,6,4]",09,"[P,I]","[P,I,P,P]",64,"[P,P]",16,PAR,LEÃO,2314,"[2,3,1,4]",23,"[P,I]","[P,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA
